"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2016-10-25","0","POR","0","104","113","114.9","124.8","90.5",".195",".293",".584","47.7","47.5","9.9","8.9",".537","11.0","17.1",".195",".607","12.4","83.3",".293"
"2","2","2016-10-28","1","LAL","1","96","89","104.2","96.6","92.1",".533",".333",".518","52.2","45.2","4.3","11.5",".453","13.1","28.9",".373",".435","13.1","75.6",".190"
"3","3","2016-10-30","0","LAC","0","75","88","84.4","99.1","88.8",".178",".260",".476","46.7","62.1","9.0","3.6",".445","18.6","16.7",".137",".446","12.4","72.0",".169"
"4","4","2016-11-01","0","SAS","1","106","91","118.1","101.4","89.8",".237",".408",".632","53.4","57.9","5.6","14.3",".599","10.6","6.3",".197",".474","9.6","90.2",".250"
"5","5","2016-11-02","1","DAL","1","97","81","109.7","91.6","88.4",".338",".325",".548","53.2","51.4","6.8","5.9",".532","11.9","18.9",".195",".474","12.8","85.0",".104"
"6","6","2016-11-04","1","SAS","0","86","100","93.5","108.7","92.0",".300",".325",".475","46.2","50.0","7.6","6.3",".444","11.7","18.4",".188",".482","10.6","78.6",".241"
"7","7","2016-11-06","0","NYK","1","114","109","125.2","119.8","91.0",".467",".333",".631","46.6","55.3","6.6","6.3",".560","10.0","19.4",".400",".554","11.6","73.0",".205"
"8","8","2016-11-07","0","PHI","1","109","84","117.0","90.2","93.1",".235",".224",".581","51.7","46.5","10.7","19.6",".571","9.6","23.3",".141",".448","17.2","79.5",".195"
"9","9","2016-11-09","0","CHO","0","98","104","105.5","111.9","92.9",".220",".415",".545","55.4","63.2","5.4","10.7",".512","11.8","23.8",".171",".512","7.8","87.8",".244"
"10","10","2016-11-11","0","ORL","1","87","74","98.0","83.3","88.8",".198",".346",".494","54.7","57.6","10.1","12.1",".451","14.6","25.5",".173",".385","12.2","83.3",".179"
"11","11","2016-11-12","0","MIA","1","102","91","111.2","99.2","91.8",".235",".247",".571","53.6","30.0","5.4","6.3",".531","9.2","14.6",".198",".500","8.2","90.7",".123"
"12","12","2016-11-14","1","MEM","0","96","102","113.5","120.5","84.6",".301",".384",".581","39.7","48.6","9.5","1.8",".534","8.8","16.7",".247",".526","15.5","62.2",".289"
"13","13","2016-11-17","1","CHI","0","77","85","89.4","98.6","86.2",".179",".321",".457","51.1","36.7","4.6","4.1",".417","13.4","23.8",".154",".394","7.6","73.1",".156"
"14","14","2016-11-19","0","HOU","0","102","111","111.2","121.1","91.7",".224",".355",".611","52.4","56.4","3.3","8.1",".592","12.6","14.7",".158",".511","3.7","79.2",".160"
"15","15","2016-11-20","0","DEN","0","91","105","99.5","114.8","91.5",".271",".318",".478","50.0","45.5","3.3","9.4",".429","9.5","27.5",".212",".535","7.5","74.5",".151"
"16","16","2016-11-23","1","DEN","1","108","83","109.8","84.4","98.3",".392",".329",".583","51.0","48.7","4.1","4.9",".544","13.1","10.3",".278",".369","9.0","77.0",".205"
"17","17","2016-11-25","1","ATL","1","95","68","101.1","72.4","93.9",".225",".425",".540","57.9","48.6","9.6","15.5",".500","15.4","20.9",".188",".361","13.7","88.5",".096"
"18","18","2016-11-28","0","MIN","1","112","103","120.9","111.1","92.7",".430",".228",".596","51.9","47.5","9.7","4.8",".532","11.3","29.3",".354",".488","13.2","75.0",".296"
"19","19","2016-11-29","1","HOU","1","120","101","136.4","114.8","88.0",".365",".378",".699","51.3","56.1","4.5","8.2",".655","8.5","17.9",".311",".467","6.5","70.0",".176"
"20","20","2016-12-01","1","MIA","0","110","111","129.5","130.7","85.0",".233",".411",".683","43.7","60.0","5.9","11.9",".664","12.0","15.6",".178",".558","6.0","66.7",".174"
"21","21","2016-12-03","1","DEN","1","105","98","114.5","106.8","91.7",".359",".321",".581","51.9","57.1","8.7","5.1",".506","9.1","18.9",".333",".524","13.6","82.5",".133"
"22","22","2016-12-05","0","LAL","1","107","101","119.4","112.7","89.6",".363",".400",".577","47.6","68.4","5.6","9.6",".556","11.5","28.2",".225",".477","9.3","65.1",".207"
"23","23","2016-12-06","1","PHO","1","112","105","117.3","110.0","95.5",".438",".370",".643","46.1","63.9","7.3","10.6",".575","14.7","17.1",".384",".500","15.2","70.7",".250"
"24","24","2016-12-08","1","GSW","0","99","106","101.5","108.7","97.5",".236",".427",".504","49.5","54.1","8.2","3.9",".472","13.2","24.0",".169",".563","15.1","79.1",".200"
"25","25","2016-12-10","1","SAC","1","104","84","114.3","92.3","91.0",".234",".377",".612","61.4","62.2","9.9","15.6",".565","20.6","37.1",".221",".428","9.5","77.4",".078"
"26","26","2016-12-14","1","OKC","1","109","89","125.3","102.3","87.0",".208",".319",".693","50.0","52.4","4.6","9.5",".674","15.1","13.8",".167",".402","8.7","72.3",".280"
"27","27","2016-12-16","1","DAL","1","103","100","123.5","119.9","83.4",".415",".338",".670","60.3","48.6","4.8","6.1",".631","17.2","28.6",".323",".532","6.5","82.5",".234"
"28","28","2016-12-18","0","MEM","1","82","73","96.5","85.9","85.0",".379",".409",".532","46.7","60.0","4.7","15.7",".515","16.3","14.7",".212",".312","7.3","66.1",".161"
"29","29","2016-12-20","0","GSW","0","74","104","77.0","108.2","96.2",".263",".395",".436","46.8","48.1","5.2","4.5",".414","21.3","19.6",".145",".494","9.3","79.1",".167"
"30","30","2016-12-21","1","SAC","0","93","94","108.2","109.3","86.0",".297",".365",".556","51.2","57.6","8.1","11.3",".507","11.6","17.5",".243",".527","10.6","81.8",".216"
"31","31","2016-12-23","1","TOR","0","98","104","106.4","112.9","92.1",".266",".342",".555","52.6","60.0","7.6","3.3",".506","15.3","22.5",".228",".580","10.2","86.1",".123"
