"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2012-10-31","1","MEM","1","101","92","103.7","94.5","97.4",".392",".203",".582","47.0","65.8","12.3","12.5",".547","20.2","22.9",".270",".395","15.4","64.6",".279"
"2","2","2012-11-02","0","LAL","1","105","95","112.5","101.8","93.3",".321",".262",".548","49.3","63.2","12.9","7.7",".500","10.3","22.5",".250",".551","19.9","80.0",".294"
"3","3","2012-11-03","1","GSW","0","110","114","113.3","117.4","97.1",".743",".300",".592","40.7","70.0","6.2","7.4",".500","14.7","17.9",".571",".512","11.4","61.9",".333"
"4","4","2012-11-05","1","CLE","0","101","108","105.2","112.5","96.0",".216",".338",".623","46.9","59.0","7.3","20.6",".588","23.6","26.5",".189",".511","14.3","61.7",".152"
"5","5","2012-11-07","1","SAS","1","106","84","113.6","90.0","93.3",".108",".205",".609","61.3","65.2","13.9","16.0",".590","14.7","28.1",".096",".466","19.3","86.0",".219"
"6","6","2012-11-08","0","POR","1","103","90","115.5","100.9","89.2",".325",".169",".585","58.7","48.8","10.1","5.5",".552","12.9","31.3",".234",".473","12.8","79.1",".253"
"7","7","2012-11-11","1","ATL","1","89","76","100.2","85.5","88.9",".098",".183",".520","48.1","55.3","13.5","12.8",".494","13.2","20.5",".098",".479","21.8","75.0",".097"
"8","8","2012-11-14","1","MIA","1","107","100","114.1","106.6","93.8",".444",".292",".622","51.4","62.9","11.7","14.3",".556","17.3","26.5",".375",".513","17.5","72.5",".273"
"9","9","2012-11-17","1","CHI","1","101","80","115.9","91.8","87.2",".400",".213",".573","47.7","56.8","11.5","13.3",".527","12.0","29.4",".293",".348","13.2","59.6",".202"
"10","10","2012-11-19","0","SAS","1","92","87","100.7","95.3","91.3",".224",".141",".493","55.3","32.5","7.7","11.3",".476","15.4","37.0",".129",".390","12.1","72.9",".280"
"11","11","2012-11-21","0","OKC","0","111","117","110.8","116.8","90.7",".355",".215",".516","50.6","47.5","16.0","8.9",".468","11.5","34.7",".258",".525","16.5","70.0",".430"
"12","12","2012-11-23","0","BRK","0","76","86","92.9","105.2","81.8",".306",".236",".465","56.3","51.7","9.8","11.7",".431","18.1","41.5",".194",".500","15.6","71.8",".178"
"13","13","2012-11-24","0","ATL","0","93","104","100.2","112.1","92.8",".333",".253",".541","48.7","59.4","14.0","5.2",".480","14.0","18.4",".280",".553","17.2","78.9",".280"
"14","14","2012-11-26","1","NOH","0","98","105","112.4","120.4","87.2",".139",".468",".584","47.1","70.3","12.6","10.9",".582","14.3","21.6",".076",".613","15.6","77.4",".254"
"15","15","2012-11-28","1","MIN","1","101","95","113.7","107.0","88.8",".321",".235",".546","40.2","75.7","12.4","10.0",".481","9.8","26.2",".284",".415","15.6","53.3",".329"
"16","16","2012-12-01","1","SAC","1","116","81","131.0","91.5","88.6",".186",".279",".623","50.6","57.4","13.6","11.3",".616","5.1","21.1",".116",".441","16.8","76.7",".184"
"17","17","2012-12-03","0","UTA","1","105","104","115.7","114.6","90.7",".270",".236",".527","46.8","45.2","9.9","5.6",".494","9.1","28.9",".191",".628","17.4","71.9",".149"
"18","18","2012-12-05","1","DAL","1","112","90","110.4","88.7","101.5",".233",".222",".564","54.4","66.7","17.7","9.2",".533","14.6","28.6",".178",".435","19.2","77.1",".202"
"19","19","2012-12-08","1","PHO","1","117","99","123.7","104.7","94.6",".258",".247",".565","52.6","62.5","12.7","9.3",".554","9.6","37.8",".151",".519","18.7","72.7",".231"
"20","20","2012-12-09","1","TOR","1","102","83","120.1","97.7","84.9",".430",".241",".543","53.6","58.3","13.0","11.8",".494","8.7","34.9",".304",".455","14.2","73.2",".169"
"21","21","2012-12-11","0","CHI","1","94","89","104.6","99.0","89.9",".288",".138",".522","45.7","51.4","12.2","7.5",".488","14.3","25.6",".200",".460","14.8","63.3",".103"
"22","22","2012-12-12","0","CHA","1","100","94","112.5","105.8","88.9",".294",".271",".521","52.2","70.3","6.8","16.7",".488","10.3","34.7",".200",".457","11.5","72.1",".232"
"23","23","2012-12-15","0","MIL","1","111","85","122.5","93.8","90.6",".293",".134",".600","55.1","75.0","11.0","4.8",".567","10.6","29.7",".220",".404","12.1","73.1",".217"
"24","24","2012-12-17","0","DET","1","88","76","106.4","91.9","82.7",".218",".282",".515","55.3","54.3","10.9","9.8",".481","11.4","31.6",".167",".458","15.9","78.9",".155"
"25","25","2012-12-19","1","NOH","1","93","77","108.5","89.9","85.7",".257",".270",".565","46.8","75.7","9.3","12.5",".527","12.7","24.3",".203",".400","19.1","66.7",".227"
"26","26","2012-12-21","1","SAC","1","97","85","103.8","91.0","93.4",".276",".264",".497","62.4","64.9","13.9","22.8",".466","16.3","40.0",".184",".468","15.7","82.2",".139"
"27","27","2012-12-23","0","PHO","1","103","77","111.9","83.6","92.1",".408",".296",".615","51.8","68.4","13.0","11.1",".613","16.0","14.7",".225",".381","13.4","76.5",".200"
"28","28","2012-12-25","1","DEN","1","112","100","114.1","101.9","98.1",".204",".269",".552","51.7","64.4","12.2","9.0",".543","12.9","32.7",".118",".519","16.6","76.3",".213"
