"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2014-10-29","1","GSW","0","77","95","75.6","93.3","101.8",".449",".231",".412","53.2","54.2","10.8","6.3",".327","21.8","28.8",".333",".480","19.8","83.3",".307"
"2","2","2014-10-31","1","POR","1","103","94","116.3","106.1","88.6",".432",".123",".534","56.3","41.2","6.8","3.5",".444","9.4","33.3",".383",".464","9.9","77.8",".205"
"3","3","2014-11-02","0","LAC","1","98","92","108.2","101.5","90.6",".485",".147",".594","56.8","61.8","4.4","19.3",".522","18.7","27.3",".397",".426","7.6","77.1",".193"
"4","4","2014-11-03","0","DEN","1","110","105","109.5","104.5","100.4",".580",".111",".541","54.3","61.8","8.0","7.2",".432","12.9","34.1",".494",".414","12.2","70.6",".301"
"5","5","2014-11-05","1","DEN","1","131","109","131.7","109.6","99.5",".658",".263",".668","55.6","50.0","8.0","5.6",".605","11.7","26.5",".513",".506","12.8","81.6",".317"
"6","6","2014-11-07","0","PHO","1","114","112","105.4","103.6","89.5",".429",".176",".527","58.8","41.0","5.5","6.0",".445","12.2","28.3",".363",".480","9.9","83.9",".184"
"7","7","2014-11-09","0","OKC","0","93","101","104.6","113.6","88.9",".275",".300",".519","48.1","63.9","12.4","3.3",".488","10.0","23.7",".188",".500","13.5","71.8",".295"
"8","8","2014-11-11","0","DAL","0","98","106","108.3","117.1","90.5",".444",".264",".569","56.6","53.1","5.5","1.9",".507","18.9","33.3",".347",".538","10.8","77.5",".250"
"9","9","2014-11-13","0","MEM","0","110","111","122.2","123.4","90.0",".442",".169",".598","59.5","32.4","6.7","7.4",".526","13.2","37.1",".377",".545","8.9","79.5",".351"
"10","10","2014-11-15","1","SAS","1","94","91","100.7","97.5","93.3",".279",".140",".487","52.5","51.4","5.4","10.7",".430","8.5","20.5",".233",".469","13.7","82.9",".200"
"11","11","2014-11-18","1","NOP","0","100","106","109.0","115.6","91.7",".337",".128",".506","61.9","60.5","3.3","3.6",".465","13.2","37.8",".233",".551","6.3","89.7",".241"
"12","12","2014-11-20","1","CHI","1","103","88","114.3","97.7","90.1",".365",".081",".600","48.8","68.4","5.5","6.2",".541","13.1","19.4",".311",".458","13.3","71.7",".131"
"13","13","2014-11-22","0","MIN","1","113","101","120.2","107.4","94.0",".370",".321",".600","57.5","60.0","4.3","2.7",".543","16.0","38.9",".309",".444","8.9","70.6",".233"
"14","14","2014-11-25","0","NOP","1","99","89","115.2","103.6","85.9",".312",".182",".565","48.7","43.2","10.5","6.5",".513","9.3","21.2",".260",".437","9.8","68.9",".253"
"15","15","2014-11-26","0","HOU","0","89","102","98.5","112.9","90.4",".394",".225",".534","53.9","51.6","2.2","13.6",".472","19.4","26.3",".310",".511","3.8","74.5",".064"
