"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2014-10-29","0","MIA","0","95","107","104.3","117.5","91.1",".320",".253",".555","45.0","55.6","7.7","3.8",".520","14.1","17.9",".227",".537","13.3","70.7",".247"
"2","2","2014-10-30","0","ORL","1","105","98","109.7","102.4","95.7",".325",".163",".574","52.9","56.4","10.5","0.0",".531","11.6","16.7",".250",".556","17.9","91.2",".250"
"3","3","2014-11-01","1","MIL","1","108","97","109.5","98.3","98.6",".452",".178",".617","44.7","70.0","18.2","8.6",".575","17.8","18.8",".329",".481","23.0","63.6",".250"
"4","4","2014-11-04","0","NYK","1","98","83","110.8","93.9","88.4",".238",".225",".555","48.8","66.7","9.0","6.1",".538","12.0","26.3",".150",".420","16.8","67.4",".185"
"5","5","2014-11-05","1","IND","1","96","94","94.5","92.5","92.0",".253",".187",".475","43.0","70.6","6.9","11.1",".412","10.6","14.0",".231",".433","15.4","72.0",".178"
"6","6","2014-11-07","0","TOR","0","84","103","90.0","110.3","93.4",".386",".229",".433","50.5","63.3","7.5","8.6",".380","11.8","29.1",".253",".494","12.2","77.3",".300"
"7","7","2014-11-08","0","IND","1","97","90","103.7","96.2","93.5",".284",".136",".532","56.3","59.0","8.6","7.5",".494","13.3","30.2",".210",".481","17.0","81.8",".208"
"8","8","2014-11-12","1","DET","1","107","103","112.3","108.1","95.3",".398",".133",".549","54.1","67.5","10.5","10.2",".500","10.1","25.6",".289",".525","12.5","83.3",".222"
"9","9","2014-11-15","1","ORL","1","98","93","107.9","102.4","90.8",".190",".119",".538","50.0","73.8","5.5","13.1",".518","10.8","22.5",".131",".519","14.9","77.5",".154"
"10","10","2014-11-19","1","DAL","0","102","105","108.2","111.4","94.3",".250",".262",".547","48.8","67.6","8.5","5.6",".500","12.2","20.9",".214",".488","11.2","76.7",".305"
"11","11","2014-11-21","1","CLE","1","91","78","97.7","83.7","93.2",".107",".119",".517","52.3","58.5","10.7","10.4",".512","16.2","23.8",".060",".400","18.2","79.5",".240"
"12","12","2014-11-22","0","MIL","1","111","100","115.7","104.2","95.9",".237",".194",".541","59.6","62.8","7.3","8.7",".505","12.0","41.7",".183",".458","12.8","80.5",".274"
"13","13","2014-11-25","1","ATL","0","102","106","106.2","110.4","96.0",".345",".238",".527","52.2","69.4","2.1","5.0",".482","17.1","34.0",".250",".465","9.1","72.1",".318"
"14","14","2014-11-26","0","CLE","0","87","113","98.5","127.9","88.4",".310",".183",".539","44.8","72.7","5.7","9.3",".500","18.2","21.9",".225",".554","9.0","73.1",".419"
"15","15","2014-11-29","1","NOP","1","83","80","98.7","95.1","84.1",".158",".158",".511","52.3","60.0","10.7","14.1",".493","14.7","29.3",".105",".407","11.7","72.3",".173"
"16","16","2014-12-01","1","MIA","1","107","86","122.9","98.8","87.1",".333",".264",".648","56.0","74.4","8.0","6.0",".611","12.7","21.2",".264",".472","11.4","83.3",".250"
"17","17","2014-12-03","1","LAL","1","111","95","114.1","97.6","97.3",".204",".204",".548","55.2","73.3","6.2","5.4",".516","9.8","26.1",".161",".459","12.1","82.0",".200"
"18","18","2014-12-05","1","DEN","1","119","89","120.5","90.1","98.7",".318",".235",".614","59.1","77.8","12.2","18.3",".571","13.4","35.0",".259",".409","16.6","79.2",".268"
