"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2013-10-30","0","DET","0","102","113","108.0","119.7","94.4",".410",".321",".554","46.3","67.6","5.3","5.6",".500","14.8","28.9",".308",".558","16.3","67.6",".333"
"2","2","2013-11-01","1","PHI","0","102","109","97.6","104.3","104.5",".181",".277",".503","50.0","56.1","13.4","8.5",".484","14.3","28.8",".117",".543","15.9","77.5",".074"
"3","3","2013-11-03","0","MIA","0","93","103","106.0","117.4","87.8",".195",".366",".522","56.2","62.9","9.1","4.7",".500","18.3","41.5",".134",".607","16.3","75.0",".257"
"4","4","2013-11-06","0","PHI","1","116","102","113.6","99.9","102.1",".163",".337",".552","44.4","74.4","9.8","7.7",".531","9.5","20.4",".122",".506","17.5","73.2",".217"
"5","5","2013-11-08","1","BRK","1","112","108","104.8","101.1","96.8",".295",".273",".563","41.4","68.3","9.4","6.3",".523","13.9","14.9",".227",".500","17.2","72.5",".227"
"6","6","2013-11-10","0","OKC","0","105","106","103.2","104.2","92.1",".295",".330",".528","41.4","57.5","4.9","9.7",".523","10.8","14.3",".148",".478","14.3","68.0",".196"
"7","7","2013-11-12","0","DAL","0","95","105","100.6","111.2","94.5",".387",".347",".541","51.2","72.7","12.7","6.9",".500","17.8","26.2",".267",".548","14.0","75.0",".155"
"8","8","2013-11-13","0","SAS","0","79","92","86.7","100.9","91.2",".121",".165",".412","48.4","45.5","12.1","5.5",".390","8.6","22.2",".088",".558","17.4","86.5",".078"
"9","9","2013-11-16","1","CLE","0","96","103","93.0","99.8","93.5",".237",".269",".467","50.5","59.5","10.7","5.0",".430","14.9","25.0",".172",".506","18.1","82.9",".259"
"10","10","2013-11-19","1","MIN","1","104","100","111.1","106.8","93.6",".176",".176",".568","49.4","75.6","10.7","8.8",".524","10.7","18.9",".176",".494","12.0","73.9",".188"
"11","11","2013-11-20","0","CLE","1","98","91","114.9","106.7","85.3",".167",".226",".543","53.7","81.6","7.0","9.3",".500","13.4","37.5",".167",".474","14.8","69.0",".234"
"12","12","2013-11-22","0","TOR","0","88","96","96.9","105.7","90.8",".151",".198",".480","45.9","47.2","6.6","6.7",".453","13.2","21.4",".116",".506","13.7","69.8",".218"
"13","13","2013-11-23","1","NYK","1","98","89","115.1","104.5","85.1",".289",".250",".572","52.9","62.2","4.7","7.5",".533","12.3","27.5",".224",".506","9.2","75.6",".073"
"14","14","2013-11-26","1","LAL","1","116","111","123.2","117.9","94.2",".253",".241",".600","55.3","54.3","15.9","3.6",".563","9.4","28.6",".207",".608","15.3","78.0",".120"
"15","15","2013-11-27","0","MIL","1","100","92","103.4","95.1","87.6",".297",".351",".598","43.6","73.0","14.5","3.3",".568","18.5","13.2",".216",".494","19.7","72.5",".094"
"16","16","2013-11-29","0","IND","0","73","93","82.2","104.7","88.8",".178",".247",".464","43.0","55.2","5.6","15.9",".438","17.8","14.6",".123",".500","15.2","68.9",".094"
"17","17","2013-11-30","1","ATL","1","108","101","110.3","103.1","97.9",".385",".308",".592","48.7","63.2","12.3","7.8",".564","14.9","16.2",".256",".488","14.8","78.0",".272"
"18","18","2013-12-02","1","ORL","1","98","80","106.5","86.9","92.0",".397",".178",".571","51.2","63.6","5.4","6.5",".514","16.5","18.4",".315",".409","15.8","79.5",".221"
"19","19","2013-12-06","1","MIL","0","105","109","103.8","107.7","91.6",".494",".325",".520","48.9","66.7","11.9","13.9",".446","12.2","26.5",".373",".489","12.7","73.3",".207"
"20","20","2013-12-09","1","DEN","0","74","75","85.4","86.6","86.6",".101",".270",".398","48.9","56.3","11.5","13.5",".388","13.1","30.8",".056",".459","20.2","71.4",".110"
"21","21","2013-12-13","0","ATL","0","99","101","96.4","98.3","93.0",".180",".140",".459","56.6","61.9","3.9","4.4",".440","13.6","34.0",".110",".466","13.1","79.2",".202"
"22","22","2013-12-14","1","LAC","0","97","113","109.3","127.3","88.7",".247",".173",".540","49.3","52.5","6.8","6.3",".512","12.6","23.7",".173",".630","10.8","82.8",".377"
"23","23","2013-12-16","0","NYK","1","102","101","112.4","111.3","90.8",".236",".250",".642","53.9","53.8","4.4","6.1",".618","19.3","18.8",".181",".487","8.9","79.5",".304"
"24","24","2013-12-18","0","BRK","1","113","107","121.5","115.1","93.0",".341",".227",".558","62.2","50.0","9.7","11.3",".500","13.7","42.2",".284",".588","14.2","86.5",".270"
"25","25","2013-12-21","0","BOS","1","106","99","113.3","105.8","93.5",".253",".241",".548","54.0","58.5","10.7","10.4",".517","10.2","29.3",".184",".506","11.2","76.1",".126"
"26","26","2013-12-27","0","MIN","0","98","120","109.6","134.2","89.4",".205",".253",".542","44.3","47.4","3.4","1.4",".506","11.7","23.1",".169",".524","3.8","65.0",".365"
"27","27","2013-12-28","1","DET","1","106","82","114.4","88.5","92.6",".198",".221",".567","54.8","79.1","10.8","8.9",".552","15.4","37.2",".128",".448","20.7","73.2",".169"
"28","28","2013-12-30","0","DET","1","106","99","113.1","105.7","93.7",".346",".244",".590","49.4","64.1","11.7","3.2",".545","14.3","26.5",".269",".476","14.1","64.7",".256"
"29","29","2014-01-01","1","DAL","0","78","87","87.1","97.2","89.5",".114",".273",".422","51.1","51.5","10.1","11.1",".403","16.3","31.9",".080",".423","14.5","72.1",".269"
"30","30","2014-01-03","1","TOR","0","88","101","103.9","119.3","84.7",".207",".146",".492","56.0","55.9","8.3","3.5",".439","16.0","41.0",".195",".576","12.4","72.2",".127"
"31","31","2014-01-05","1","GSW","0","96","112","100.3","117.0","95.7",".186",".233",".516","48.3","62.2","8.4","7.9",".465","12.3","19.6",".186",".559","11.3","80.5",".200"
"32","32","2014-01-07","0","CHA","1","97","83","107.5","92.0","90.2",".176",".200",".529","54.8","50.0","7.8","14.3",".500","7.1","18.6",".141",".472","13.6","92.7",".208"
"33","33","2014-01-08","0","NOP","1","102","96","114.4","107.7","89.2",".325",".263",".558","55.4","63.2","6.7","7.7",".538","11.6","31.0",".200",".474","10.0","80.5",".282"
"34","34","2014-01-10","0","IND","0","66","93","69.3","97.6","95.3",".284",".173",".362","40.2","50.0","8.4","10.0",".352","13.3","13.8",".111",".482","13.9","75.0",".157"
"35","35","2014-01-11","1","HOU","0","107","114","107.6","114.6","99.5",".326",".200",".492","52.2","60.0","11.1","5.5",".447","9.2","33.3",".232",".575","17.2","76.9",".411"
"36","36","2014-01-13","0","CHI","1","102","88","114.2","98.6","89.3",".373",".240",".584","48.8","64.1","10.1","8.6",".567","12.1","22.2",".227",".487","16.3","69.6",".139"
"37","37","2014-01-15","1","MIA","1","114","97","125.3","106.6","91.0",".347",".293",".659","53.9","73.2","7.7","11.9",".613","12.2","21.2",".293",".482","11.6","79.1",".190"
"38","38","2014-01-17","1","CHI","1","96","93","107.1","103.7","89.6",".165",".139",".567","51.4","67.5","10.0","15.4",".544","15.9","22.9",".127",".520","15.3","80.0",".184"
"39","39","2014-01-18","1","DET","0","98","104","100.2","106.4","97.8",".382",".276",".552","44.3","59.5","7.2","1.7",".539","17.6","15.4",".211",".531","12.9","72.5",".222"
"40","40","2014-01-20","1","PHI","1","107","99","102.9","95.2","104.0",".417",".214",".538","54.6","67.6","4.8","17.1",".470","13.9","21.7",".333",".443","11.3","84.3",".239"
