"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2014-10-29","1","PHI","1","103","91","109.5","96.7","94.1",".346",".309",".552","54.3","57.9","5.3","19.1",".519","15.4","34.1",".235",".416","9.7","70.6",".191"
"2","2","2014-10-31","1","MEM","0","89","97","102.2","111.4","87.1",".216",".284",".549","53.5","55.9","5.7","5.0",".514","18.2","27.5",".176",".487","9.0","76.1",".253"
"3","3","2014-11-01","0","ATL","0","92","102","99.2","110.0","92.7",".259",".395",".510","54.3","80.6","5.4","10.2",".457","16.6","24.4",".222",".558","12.6","91.7",".362"
"4","4","2014-11-04","1","MIL","0","81","87","93.1","100.0","87.0",".282",".308",".462","54.7","45.2","4.6","14.5",".436","16.2","33.3",".167",".488","12.2","78.0",".072"
"5","5","2014-11-05","0","WAS","0","94","96","92.5","94.5","92.0",".222",".300",".476","57.0","62.9","3.0","12.2",".433","15.4","28.0",".178",".412","10.6","86.0",".231"
"6","6","2014-11-07","0","BOS","0","98","101","108.3","111.7","90.5",".148",".216",".523","52.5","45.0","2.2","10.3",".483","12.2","32.6",".148",".512","11.5","75.7",".165"
"7","7","2014-11-08","1","WAS","0","90","97","96.2","103.7","93.5",".325",".312",".511","43.7","33.3","5.3","4.3",".481","17.0","18.2",".208",".494","13.3","69.8",".210"
"8","8","2014-11-10","1","UTA","1","97","86","111.2","98.6","87.2",".167",".167",".502","54.3","41.0","3.4","5.7",".467","6.8","28.9",".144",".473","11.7","86.1",".216"
"9","9","2014-11-12","0","MIA","1","81","75","103.3","95.6","78.4",".188",".325",".468","65.4","43.3","6.4","10.4",".425","14.8","42.1",".163",".493","10.6","86.0",".118"
"10","10","2014-11-14","1","DEN","0","87","108","94.8","117.7","91.8",".262",".262",".464","47.7","50.0","2.2","10.9",".452","12.2","25.0",".131",".540","7.5","70.5",".161"
"11","11","2014-11-15","0","CHI","1","99","90","108.5","98.7","91.2",".325",".234",".563","57.5","48.6","5.5","9.1",".526","13.7","29.4",".234",".446","12.3","78.3",".193"
"12","12","2014-11-19","1","CHO","1","88","86","105.7","103.3","83.3",".308",".192",".497","55.4","42.9","3.6","4.2",".462","11.0","32.6",".205",".459","5.2","75.5",".081"
"13","13","2014-11-22","1","PHO","0","83","106","92.0","117.5","90.2",".238",".274",".447","48.0","58.1","10.0","9.3",".411","13.1","28.3",".167",".518","11.3","71.1",".212"
"14","14","2014-11-24","0","DAL","1","111","100","117.5","105.9","94.5",".468",".338",".598","54.3","54.1","6.4","7.1",".565","11.4","20.5",".312",".550","11.9","85.7",".150"
"15","15","2014-11-26","0","SAS","0","100","106","104.6","110.9","95.6",".207",".241",".527","44.4","57.5","9.4","1.7",".517","11.2","15.9",".115",".588","14.7","78.4",".257"
"16","16","2014-11-28","1","ORL","1","98","83","107.5","91.1","91.1",".149",".170",".489","62.4","61.0","7.7","5.8",".457","9.9","36.2",".128",".493","18.9","94.7",".200"
"17","17","2014-11-29","0","CLE","0","97","109","107.5","120.9","90.2",".292",".247",".483","52.2","74.3","2.2","1.6",".433","6.5","30.0",".225",".571","8.9","78.6",".256"
"18","18","2014-12-02","0","PHO","0","99","116","98.7","115.7","100.3",".200",".153",".535","48.2","48.8","8.0","4.9",".506","17.0","18.6",".153",".570","11.0","78.6",".209"
"19","19","2014-12-04","0","POR","0","82","88","83.1","89.1","98.7",".088",".198",".434","51.5","52.8","5.1","8.1",".423","15.2","20.4",".055",".422","11.4","88.9",".217"
"20","20","2014-12-05","0","SAC","0","101","102","99.0","100.0","92.4",".302",".271",".464","46.7","50.0","9.8","6.8",".406","6.9","19.1",".240",".446","12.2","75.6",".337"
"21","21","2014-12-08","1","ATL","0","92","108","93.2","109.4","98.7",".202",".321",".503","47.2","62.2","6.1","3.6",".494","15.7","16.3",".107",".578","15.3","85.0",".247"
"22","22","2014-12-10","1","LAC","0","96","103","101.6","109.0","94.5",".247",".303",".486","46.2","77.1","6.3","1.6",".444","10.0","23.1",".191",".517","11.3","75.6",".136"
"23","23","2014-12-12","0","TOR","0","94","106","101.5","114.4","92.6",".288",".275",".522","42.9","72.7","4.3","10.8",".463","11.8","14.3",".250",".473","9.0","67.3",".220"
"24","24","2014-12-13","1","POR","0","85","95","90.8","101.5","93.6",".182",".170",".447","51.6","47.1","8.5","2.7",".409","12.0","25.5",".148",".472","11.2","77.1",".111"
"25","25","2014-12-15","1","LAL","1","110","91","116.4","96.3","94.5",".325",".205",".580","58.2","52.5","7.4","3.2",".524","12.1","28.9",".277",".386","8.2","79.2",".261"
"26","26","2014-12-17","0","LAC","0","100","102","105.7","107.8","94.6",".256",".211",".499","45.7","67.5","6.3","6.7",".467","10.7","27.5",".178",".474","10.9","67.4",".359"
"27","27","2014-12-20","0","DEN","0","73","76","76.9","80.0","94.9",".193",".261",".382","50.5","63.0","5.3","3.0",".347","12.8","21.6",".136",".378","15.0","81.3",".171"
"28","28","2014-12-21","0","MIN","1","100","96","107.5","103.2","93.0",".167",".226",".555","45.6","59.5","9.7","9.1",".536","12.6","19.0",".119",".500","15.4","75.7",".247"
"29","29","2014-12-23","1","NOP","1","96","84","103.4","90.5","92.9",".231",".192",".559","45.2","61.5","9.7","19.0",".532","9.5","7.5",".167",".422","14.1","79.5",".169"
"30","30","2014-12-26","0","DET","0","109","119","112.7","123.0","96.8",".265",".241",".588","51.2","59.5","3.1","6.7",".560","16.3","26.8",".193",".605","8.4","73.3",".174"
"31","31","2014-12-27","0","BRK","1","110","85","114.9","88.8","95.7",".209",".209",".586","56.3","75.0","11.5","9.6",".564","9.6","18.9",".151",".409","14.4","88.4",".286"
"32","32","2014-12-29","1","CHI","0","90","92","96.6","98.7","93.2",".253",".157",".488","48.9","50.0","5.4","11.3",".464","12.4","17.9",".157",".375","9.2","72.5",".345"
"33","33","2014-12-31","1","MIA","1","106","95","122.1","109.4","86.8",".380",".228",".575","52.0","65.7","4.6","6.6",".506","9.8","28.2",".329",".526","11.5","77.8",".182"
"34","34","2015-01-02","0","MIL","1","94","91","101.4","98.2","92.7",".247",".247",".523","51.1","68.6","7.6","4.6",".481","14.3","23.3",".198",".466","11.4","77.8",".090"
"35","35","2015-01-04","0","LAL","0","87","88","97.3","98.4","89.4",".200",".311",".444","57.5","63.6","5.6","3.8",".411","12.5","33.3",".144",".423","11.6","87.2",".394"
"36","36","2015-01-05","0","UTA","1","105","101","120.5","115.9","87.1",".405",".176",".602","46.1","57.1","9.2","5.2",".520","10.3","22.9",".378",".457","9.4","65.9",".333"
"37","37","2015-01-07","0","GSW","0","102","117","102.2","117.2","99.8",".284",".321",".560","51.3","64.9","4.0","3.2",".494","15.7","14.7",".272",".560","9.9","78.3",".165"
