"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2013-10-30","1","MIA","1","114","110","114.8","110.8","99.3",".300",".263",".629","56.3","55.8","16.1","2.2",".588","16.6","25.0",".250",".588","17.3","82.1",".118"
"2","2","2013-11-01","0","WAS","1","109","102","104.3","97.6","104.5",".149",".245",".544","50.0","54.2","7.7","8.8",".543","15.9","22.5",".074",".484","14.3","71.2",".117"
"3","3","2013-11-02","1","CHI","1","107","104","109.2","106.2","98.0",".209",".256",".570","43.3","57.1","8.2","7.6",".552","13.8","22.7",".140",".468","15.1","63.0",".183"
"4","4","2013-11-04","1","GSW","0","90","110","82.1","100.3","109.7",".420",".284",".432","49.1","61.3","8.2","5.6",".381","18.7","25.5",".261",".527","17.9","74.5",".141"
"5","5","2013-11-06","1","WAS","0","102","116","99.9","113.6","102.1",".313",".217",".540","55.6","66.7","4.9","4.6",".506","17.5","26.8",".217",".531","9.5","79.6",".122"
"6","6","2013-11-08","1","CLE","1","94","79","106.7","89.7","88.1",".107",".250",".534","52.2","62.5","5.7","12.5",".518","16.2","32.4",".083",".383","11.9","66.0",".111"
"7","7","2013-11-09","0","CLE","0","125","127","108.4","110.2","95.4",".232",".273",".573","46.8","51.1","8.7","4.2",".530","14.8","20.0",".202",".515","13.6","71.4",".216"
"8","8","2013-11-11","1","SAS","0","85","109","92.3","118.3","92.1",".195",".232",".477","44.4","55.9","4.3","14.8",".445","14.4","22.0",".146",".567","11.3","72.5",".090"
"9","9","2013-11-13","1","HOU","1","123","117","111.5","106.0","99.9",".330",".243",".521","50.0","67.4","10.9","14.5",".471","9.9","28.8",".252",".526","15.1","72.9",".167"
"10","10","2013-11-15","0","ATL","0","103","113","101.7","111.6","101.2",".267",".221",".536","47.6","52.5","5.9","6.9",".494","14.3","19.6",".209",".543","13.7","83.3",".309"
"11","11","2013-11-16","0","NOP","0","98","135","97.7","134.5","100.3",".373",".229",".507","46.9","45.7","8.0","3.4",".458","15.0","23.3",".265",".680","11.7","73.7",".209"
"12","12","2013-11-18","0","DAL","0","94","97","94.7","97.7","99.2",".222",".212",".432","50.0","63.2","12.1","8.2",".414","9.9","29.5",".121",".494","18.3","77.8",".256"
"13","13","2013-11-20","1","TOR","0","98","108","99.9","110.1","98.1",".408",".263",".547","54.9","58.8","5.1","7.0",".493","18.2","22.0",".303",".500","9.2","82.0",".256"
"14","14","2013-11-22","1","MIL","1","115","107","108.1","100.6","96.3",".367",".253",".627","61.0","75.6","7.5","6.3",".614","22.1","31.3",".228",".484","13.4","80.0",".183"
"15","15","2013-11-23","0","IND","0","98","106","95.8","103.6","102.3",".314",".245",".422","51.9","31.4","14.7","10.3",".363","10.8","35.4",".235",".493","17.0","79.5",".408"
"16","16","2013-11-27","0","ORL","0","94","105","95.5","106.7","98.4",".200",".259",".508","47.1","57.9","8.1","6.3",".488","14.0","19.1",".129",".549","15.7","81.6",".183"
"17","17","2013-11-29","1","NOP","0","105","121","106.1","122.2","99.0",".228",".337",".519","55.1","66.7","6.1","5.5",".522","15.1","37.5",".098",".591","10.8","75.6",".118"
"18","18","2013-12-01","0","DET","0","100","115","90.8","104.4","110.1",".216",".261",".519","41.8","57.9","13.6","11.5",".472","17.2","12.8",".193",".517","17.8","68.6",".258"
"19","19","2013-12-03","1","ORL","1","126","125","112.2","111.3","92.9",".344",".302",".570","62.2","43.5","8.9","5.9",".536","17.2","43.5",".240",".532","14.3","81.8",".266"
"20","20","2013-12-06","0","CHA","0","88","105","89.8","107.1","98.0",".141",".293",".450","51.0","56.8","4.1","5.7",".435","13.3","23.4",".087",".484","8.1","76.5",".187"
"21","21","2013-12-07","1","DEN","0","92","103","102.7","115.0","89.6",".159",".182",".489","42.2","47.5","4.5","6.6",".472","12.1","25.6",".102",".464","10.1","57.4",".313"
"22","22","2013-12-09","1","LAC","0","83","94","85.2","96.5","97.4",".207",".228",".414","50.5","78.8","7.2","0.0",".375","13.8","25.9",".152",".457","11.2","80.0",".232"
