"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2014-10-29","0","IND","0","91","103","96.7","109.5","94.1",".337",".236",".445","45.7","50.0","10.6","8.9",".416","9.7","29.4",".191",".519","15.4","65.9",".235"
"2","2","2014-10-31","0","MIL","0","81","93","83.8","96.2","96.7",".256",".267",".423","43.3","62.5","9.3","7.8",".401","14.3","23.1",".140",".460","15.6","66.7",".136"
"3","3","2014-11-01","1","MIA","0","96","114","97.1","115.3","98.9",".388",".343",".612","51.4","80.0","9.1","16.9",".575","23.4","13.3",".284",".566","14.3","78.6",".241"
"4","4","2014-11-03","1","HOU","0","93","104","100.1","111.9","92.9",".311",".297",".553","39.7","57.6","12.9","9.8",".520","16.8","15.0",".216",".533","19.2","65.8",".320"
"5","5","2014-11-05","1","ORL","0","89","91","88.8","90.8","100.2",".299",".325",".511","42.7","66.7","12.0","17.6",".481","18.7","14.0",".195",".460","20.5","69.6",".114"
"6","6","2014-11-07","1","CHI","0","115","118","121.7","124.9","94.5",".275",".330",".564","51.2","67.4","7.4","3.7",".538","10.5","37.8",".187",".590","15.5","67.6",".333"
"7","7","2014-11-09","0","TOR","0","88","120","88.2","120.3","99.7",".207",".391",".464","44.3","57.6","11.0","10.2",".437","15.2","23.9",".138",".612","18.3","83.3",".355"
"8","8","2014-11-13","0","DAL","0","70","123","70.3","123.5","99.6",".429",".351",".382","47.4","39.1","7.0","8.3",".344","22.8","30.0",".221",".581","13.5","75.7",".375"
"9","9","2014-11-14","0","HOU","0","87","88","89.5","90.5","97.2",".225",".263",".495","49.5","55.9","10.3","11.4",".469","20.7","29.2",".150",".417","18.2","71.1",".295"
"10","10","2014-11-17","0","SAS","0","75","100","75.4","100.6","99.5",".289",".313",".401","42.9","55.6","11.1","7.3",".349","12.2","9.8",".205",".506","15.9","85.0",".222"
"11","11","2014-11-19","1","BOS","0","90","101","91.2","102.3","98.7",".244",".244",".472","50.0","64.7","10.1","3.2",".436","13.6","19.6",".174",".530","14.0","83.3",".157"
"12","12","2014-11-21","1","PHO","0","96","122","98.9","125.7","97.0",".423",".295",".519","45.9","50.0","10.3","1.8",".487","15.5","22.2",".256",".587","11.9","72.5",".244"
"13","13","2014-11-22","0","NYK","0","83","91","93.3","102.3","88.9",".333",".347",".483","47.4","43.3","9.0","2.0",".453","17.3","22.7",".200",".545","19.3","81.3",".288"
