"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2016-10-26","1","MIA","0","96","108","101.8","114.5","94.3",".315",".202",".474","46.4","58.8","5.3","4.9",".416","9.8","29.4",".247",".505","8.8","65.2",".103"
"2","2","2016-10-28","0","DET","0","82","108","86.1","113.3","95.3",".126",".274",".409","45.4","60.6","8.4","3.9",".389","8.2","24.1",".084",".542","10.9","76.9",".053"
"3","3","2016-10-29","0","CLE","0","99","105","102.6","108.8","96.5",".310",".333",".519","55.6","55.3","6.2","9.8",".500","17.3","32.5",".179",".472","8.2","74.0",".250"
"4","4","2016-11-01","0","PHI","1","103","101","108.9","106.7","94.6",".183",".269",".513","48.1","69.0","7.4","9.8",".484","9.1","25.5",".140",".549","14.6","79.4",".148"
"5","5","2016-11-03","1","SAC","1","102","94","112.9","104.1","90.3",".274",".357",".542","53.0","63.2","5.5","6.5",".512","12.9","31.7",".190",".519","13.8","73.8",".138"
"6","6","2016-11-05","1","WAS","1","88","86","102.4","100.1","85.9",".346",".359",".490","46.7","67.7","4.7","8.7",".455","8.2","22.2",".218",".430","9.7","70.2",".140"
"7","7","2016-11-07","0","CHI","0","80","112","85.1","119.2","94.0",".071",".353",".456","41.1","84.8","6.4","8.6",".441","13.8","12.8",".059",".489","7.2","68.8",".281"
"8","8","2016-11-09","1","MIN","0","107","123","116.0","133.4","92.2",".353",".282",".545","46.4","52.6","2.2","7.8",".494","8.4","25.5",".271",".592","5.7","73.0",".230"
"9","9","2016-11-11","1","UTA","0","74","87","83.3","98.0","88.8",".244",".256",".428","45.3","50.0","12.4","11.3",".385","12.2","16.7",".179",".451","14.6","74.5",".173"
"10","10","2016-11-13","0","OKC","1","119","117","123.6","121.5","96.3",".233",".279",".628","47.5","52.2","4.2","10.4",".599","8.7","21.1",".186",".549","8.8","71.4",".174"
"11","11","2016-11-14","0","IND","0","69","88","73.7","94.0","93.6",".155",".298",".385","51.5","44.4","3.2","7.7",".351","13.5","17.6",".119",".433","8.7","86.0",".111"
"12","12","2016-11-16","1","NOP","1","89","82","94.2","86.8","94.4",".216",".307",".462","51.0","50.0","7.4","11.5",".443","11.1","25.0",".125",".409","15.8","80.4",".183"
"13","13","2016-11-19","1","DAL","1","95","87","100.8","92.3","94.2",".282",".269",".542","59.5","50.0","6.4","16.3",".487","17.8","25.6",".244",".422","12.8","88.9",".286"
"14","14","2016-11-21","0","MIL","0","89","93","89.7","93.7","99.2",".312",".325",".508","59.3","65.6","8.1","8.8",".461","21.5","25.0",".234",".453","12.0","86.3",".174"
"15","15","2016-11-23","1","PHO","0","87","92","91.8","97.1","94.7",".253",".275",".430","50.0","51.5","9.5","15.7",".401","9.8","22.4",".154",".514","17.1","84.6",".233"
"16","16","2016-11-25","1","WAS","0","91","94","97.8","101.0","93.1",".250",".288",".512","57.0","51.4","5.4","11.9",".481","17.6","31.8",".175",".489","10.6","83.3",".091"
"17","17","2016-11-27","1","MIL","0","96","104","101.4","109.8","94.7",".185",".304",".483","46.5","63.2","6.3","8.1",".451","6.6","18.9",".141",".523","10.4","78.3",".163"
"18","18","2016-11-29","0","SAS","1","95","83","102.5","89.5","92.7",".140",".174",".520","47.1","64.1","12.9","7.1",".488","12.5","20.5",".128",".401","17.1","75.6",".289"
"19","19","2016-12-01","0","MEM","0","94","95","100.9","102.0","93.2",".419",".324",".536","51.9","45.5","5.4","14.8",".486","16.2","18.4",".297",".462","9.9","81.4",".278"
"20","20","2016-12-02","0","PHI","1","105","88","115.3","96.6","91.1",".333",".333",".587","50.5","64.9","8.8","4.8",".558","10.1","18.4",".231",".426","9.1","72.7",".074"
"21","21","2016-12-04","0","DET","1","98","92","107.6","101.0","91.1",".177",".291",".575","47.0","54.8","8.8","11.9",".576","10.5","10.5",".089",".500","11.6","77.8",".070"
"22","22","2016-12-06","0","WAS","1","124","116","123.5","115.5","100.4",".434",".313",".627","50.6","55.8","7.0","17.1",".590","10.0","20.0",".313",".532","8.8","77.8",".183"
"23","23","2016-12-07","1","BOS","0","87","117","93.2","125.4","93.3",".296",".321",".475","43.0","66.7","7.5","1.7",".438","11.6","17.4",".198",".554","9.4","72.5",".286"
"24","24","2016-12-09","0","CHO","0","88","109","94.2","116.6","93.5",".154",".374",".453","40.4","64.7","6.4","3.2",".423","7.6","16.4",".121",".535","11.2","70.5",".212"
"25","25","2016-12-10","1","DEN","0","113","121","117.9","126.3","95.8",".273",".307",".573","41.3","62.8","7.3","7.8",".551","4.8","12.5",".182",".614","11.3","74.3",".229"
"26","26","2016-12-13","0","ATL","1","131","120","134.9","123.6","97.1",".230",".391",".684","38.4","70.6","8.2","8.2",".672","8.6","13.5",".161",".567","13.2","63.9",".213"
"27","27","2016-12-14","1","LAC","0","108","113","117.5","123.0","91.9",".225",".371",".552","48.1","69.0","5.4","2.0",".551","7.6","25.5",".112",".588","10.9","79.4",".351"
"28","28","2016-12-16","1","BRK","1","118","111","112.9","106.2","104.5",".433",".299",".511","52.1","56.4","7.7","19.6",".438","5.7","25.0",".340",".536","15.3","85.7",".265"
"29","29","2016-12-18","1","TOR","0","79","109","83.8","115.6","94.3",".108",".253",".454","47.2","38.2","5.3","5.0",".428","17.9","21.3",".096",".534","9.4","76.2",".184"
"30","30","2016-12-20","0","MIA","1","136","130","114.3","109.2","98.5",".295",".210",".573","49.5","46.2","2.5","6.4",".548","8.5","13.3",".200",".519","7.7","82.0",".167"
"31","31","2016-12-22","0","NYK","0","95","106","96.9","108.1","98.1",".178",".300",".489","44.1","53.8","7.1","9.2",".461","14.2","22.7",".133",".474","12.7","63.3",".156"
"32","32","2016-12-23","1","LAL","1","109","90","109.4","90.3","99.7",".157",".303",".573","50.5","55.6","10.0","17.2",".567","12.8","17.1",".090",".402","14.1","76.9",".230"
"33","33","2016-12-26","1","MEM","1","112","102","123.0","112.0","91.1",".186",".302",".602","55.1","52.3","5.5","5.9",".587","8.8","20.0",".128",".526","6.4","92.1",".289"
"34","34","2016-12-28","1","CHO","0","101","120","108.5","128.9","93.1",".116",".395",".559","41.8","59.5","7.5","11.7",".541","12.6","20.0",".093",".607","12.3","70.6",".214"
"35","35","2017-01-01","0","IND","0","104","117","105.8","119.1","98.3",".113",".392",".511","47.7","59.5","6.1","10.9",".485","8.9","20.8",".103",".552","10.2","80.0",".256"
"36","36","2017-01-02","0","NYK","1","115","103","123.4","110.5","93.2",".154",".341",".592","45.9","77.8","10.7","6.5",".577","11.0","30.2",".110",".518","16.1","61.9",".205"
"37","37","2017-01-04","1","ATL","0","92","111","95.7","115.5","96.1",".116",".326",".509","50.6","51.4","9.4","9.7",".483","15.8","21.7",".105",".605","11.9","90.9",".160"
"38","38","2017-01-06","1","HOU","0","93","100","102.2","109.9","91.0",".143",".253",".481","52.1","47.4","8.8","5.4",".462","13.4","36.5",".099",".541","14.1","71.4",".081"
"39","39","2017-01-08","0","LAL","0","95","111","93.1","108.8","102.0",".322",".289",".462","53.5","70.6","4.9","5.5",".417","14.9","30.5",".222",".529","11.8","85.7",".218"
"40","40","2017-01-11","0","LAC","0","96","105","94.7","103.5","101.4",".196",".293",".480","41.7","53.8","7.9","6.0",".457","11.5","13.0",".130",".572","19.4","76.3",".237"
"41","41","2017-01-13","0","POR","1","115","109","115.7","109.7","99.4",".313",".217",".609","51.1","51.2","5.0","7.9",".554","13.7","22.5",".277",".454","7.7","75.0",".216"
"42","42","2017-01-14","0","UTA","0","107","114","107.1","114.2","99.9",".329",".415",".570","47.6","60.5","10.0","3.5",".537","13.0","16.7",".232",".536","11.6","78.6",".301"
"43","43","2017-01-16","0","DEN","0","112","125","112.2","125.3","99.8",".205",".284",".584","46.6","62.2","6.0","1.6",".557","12.7","18.9",".159",".635","12.8","75.0",".135"
"44","44","2017-01-18","0","NOP","0","98","118","95.0","114.4","103.2",".125",".364",".528","51.1","46.2","5.8","8.8",".506","16.2","9.3",".102",".575","7.4","87.8",".118"
"45","45","2017-01-20","1","MIL","1","112","96","119.7","102.6","93.5",".356",".322",".556","57.0","62.5","9.6","10.3",".506","8.2","31.8",".276",".470","11.3","79.6",".217"
"46","46","2017-01-22","1","GSW","0","98","118","98.1","118.1","99.9",".167",".292",".476","44.1","59.5","9.0","14.9",".474","10.4","23.5",".073",".579","15.6","69.0",".169"
"47","47","2017-01-24","1","CHI","0","92","100","94.5","102.7","97.4",".235",".259",".490","52.2","51.4","7.2","3.6",".453","16.8","24.0",".176",".500","12.6","85.7",".299"
"48","48","2017-01-27","0","BOS","0","98","128","100.7","131.5","97.4",".207",".287",".516","44.7","76.3","7.2","3.6",".489","10.4","14.9",".149",".652","9.5","81.6",".135"
"49","49","2017-01-29","0","TOR","1","114","113","120.8","119.7","94.4",".329",".291",".630","47.4","59.5","6.4","11.8",".595","11.7","16.2",".253",".532","10.4","76.9",".367"
"50","50","2017-01-30","0","MIN","0","105","111","103.0","108.9","92.3",".198",".365",".503","49.0","53.7","6.9","4.8",".479","9.5","21.2",".135",".505","9.7","80.4",".209"
"51","51","2017-02-01","1","IND","0","88","98","95.6","106.4","92.1",".364",".312",".493","47.9","54.8","13.0","6.1",".442","13.6","17.5",".260",".543","17.4","84.8",".333"
"52","52","2017-02-03","1","TOR","1","102","94","111.6","102.8","91.4",".400",".175",".542","51.1","59.5","4.4","11.9",".494","10.5","26.2",".288",".448","10.3","72.9",".184"
"53","53","2017-02-04","0","ATL","0","86","113","92.2","121.2","93.3",".359",".346",".476","40.7","63.0","8.6","8.0",".391","12.6","15.6",".321",".590","14.3","72.2",".269"
"54","54","2017-02-07","0","HOU","0","104","128","102.2","125.8","101.7",".227",".284",".537","52.8","66.7","6.9","7.8",".511","14.2","23.8",".159",".584","8.7","78.7",".270"
"55","55","2017-02-09","1","PHI","0","111","112","104.4","105.3","106.4",".286",".250",".587","51.1","65.9","3.8","11.9",".548","18.2","17.9",".226",".479","12.3","75.5",".221"
"56","56","2017-02-11","0","DAL","0","80","112","86.8","121.5","92.2",".220",".280",".445","44.0","50.0","8.7","8.9",".409","13.5","22.0",".159",".588","13.0","70.7",".055"
"57","57","2017-02-13","0","MIA","1","116","107","115.5","106.6","100.4",".322",".156",".564","58.4","40.9","9.0","4.9",".533","12.0","32.6",".222",".506","12.9","86.0",".277"
"58","58","2017-02-15","1","SAS","0","79","107","83.4","113.0","94.7",".250",".237",".468","39.8","50.0","5.3","8.6",".421","16.8","11.4",".197",".517","11.0","71.8",".169"
"59","59","2017-02-23","1","POR","0","103","112","102.5","111.5","100.5",".453",".256",".499","47.1","52.9","8.0","6.3",".436","11.9","26.5",".326",".562","17.0","75.0",".259"
"60","60","2017-02-25","1","ATL","1","105","86","107.6","88.1","97.6",".296",".333",".573","49.5","56.8","11.3","13.3",".506","12.4","16.3",".284",".424","15.0","76.9",".165"
"61","61","2017-03-01","1","NYK","0","90","101","97.8","109.8","92.0",".265",".301",".486","46.2","32.4","3.3","5.8",".440","11.5","19.6",".205",".469","10.4","72.3",".309"
"62","62","2017-03-03","1","MIA","1","110","99","114.4","103.0","96.1",".211",".189",".559","50.5","60.0","7.3","9.5",".528","8.4","19.5",".167",".429","8.1","75.0",".231"
"63","63","2017-03-05","0","WAS","0","114","115","121.9","122.9","93.5",".213",".393",".585","53.1","36.4","9.6","5.5",".573","12.6","31.7",".135",".568","11.5","75.0",".284"
"64","64","2017-03-06","1","NYK","0","105","113","111.7","120.2","94.0",".282",".376",".549","48.3","57.5","4.3","6.9",".524","12.0","25.0",".188",".500","8.4","72.1",".314"
"65","65","2017-03-08","1","CHI","1","98","91","108.4","100.7","90.4",".236",".281",".499","52.2","56.8","11.1","7.5",".455","8.4","30.0",".191",".519","15.7","78.6",".086"
"66","66","2017-03-10","0","CHO","0","81","121","93.6","139.8","86.6",".289",".355",".473","41.9","61.3","4.6","3.4",".441","10.5","17.8",".184",".658","7.4","79.3",".215"
"67","67","2017-03-11","1","CLE","0","104","116","107.7","120.1","96.6",".292",".219",".480","50.0","44.7","6.2","2.1",".417","4.4","24.6",".250",".587","8.5","80.9",".174"
"68","68","2017-03-13","0","SAC","0","115","120","110.9","115.7","103.7",".122",".347",".557","51.8","71.1","9.6","7.7",".526","10.4","18.8",".122",".634","14.1","94.6",".195"
"69","69","2017-03-16","0","GSW","0","92","122","89.9","119.2","102.3",".223",".287",".446","51.0","42.9","6.8","6.6",".410","15.5","28.6",".160",".632","11.0","82.5",".138"
"70","70","2017-03-17","0","PHO","1","109","103","104.9","99.2","103.9",".219",".240",".518","46.7","50.0","9.6","5.5",".474","10.2","17.8",".188",".448","13.8","74.5",".287"
"71","71","2017-03-20","1","PHI","1","112","109","99.4","96.7","102.1",".489",".245",".490","50.9","54.3","8.9","5.9",".394","13.6","25.9",".404",".426","12.4","75.9",".216"
"72","72","2017-03-22","1","CHO","0","102","109","111.3","118.9","91.7",".114",".455",".552","50.0","65.0","5.5","4.8",".534","13.2","29.5",".091",".517","9.3","71.4",".178"
