"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2012-10-31","0","LAC","0","92","101","94.5","103.7","97.4",".349",".163",".464","53.0","72.7","14.4","6.8",".395","15.4","35.4",".279",".547","20.2","77.1",".270"
"2","2","2012-11-02","0","GSW","1","104","94","111.5","100.8","93.3",".442",".169",".565","52.6","62.9","9.6","6.7",".494","12.4","25.0",".364",".513","17.1","77.5",".150"
"3","3","2012-11-05","1","UTA","1","103","94","107.7","98.3","95.6",".275",".154",".505","54.8","55.3","9.4","13.3",".445","9.7","31.1",".242",".472","12.8","77.1",".100"
"4","4","2012-11-07","0","MIL","1","108","90","117.7","98.1","91.7",".229",".193",".591","54.4","63.6","7.6","6.6",".566","13.3","30.6",".169",".418","9.1","70.4",".154"
"5","5","2012-11-09","1","HOU","1","93","85","103.9","94.9","89.5",".245",".202",".447","49.4","45.7","15.6","16.3",".404","8.0","35.3",".181",".467","19.5","73.3",".184"
"6","6","2012-11-11","1","MIA","1","104","86","114.5","94.7","90.8",".186",".279",".559","50.0","68.4","8.8","6.3",".523","13.1","28.2",".163",".405","12.1","68.1",".278"
"7","7","2012-11-14","0","OKC","1","107","97","120.0","108.8","89.2",".151",".183",".540","49.4","50.0","6.7","5.1",".511","7.5","28.6",".129",".528","15.2","73.0",".292"
"8","8","2012-11-16","1","NYK","1","105","95","122.8","111.1","85.5",".421",".197",".583","50.7","40.5","8.2","11.3",".520","13.5","33.3",".342",".549","13.8","69.7",".222"
"9","9","2012-11-17","0","CHA","1","94","87","100.5","93.0","93.5",".425",".175",".495","48.9","54.8","10.7","9.7",".400","12.8","27.9",".375",".400","14.1","68.1",".224"
"10","10","2012-11-19","1","DEN","0","92","97","106.5","112.3","86.4",".218",".218",".538","41.3","63.9","11.6","6.1",".500","16.6","31.6",".179",".475","15.4","50.0",".247"
"11","11","2012-11-23","1","LAL","1","106","98","122.3","113.0","86.7",".400",".147",".601","58.2","60.5","11.5","6.4",".547","14.5","43.3",".320",".527","17.6","70.3",".270"
"12","12","2012-11-26","1","CLE","1","84","78","104.4","96.9","80.5",".254",".155",".532","44.6","48.5","9.9","8.3",".493","15.1","27.0",".197",".434","16.2","62.2",".158"
"13","13","2012-11-28","1","TOR","1","103","82","113.6","90.4","90.7",".350",".225",".558","58.2","73.7","11.0","12.3",".525","11.5","31.6",".238",".426","16.7","82.9",".257"
"14","14","2012-11-30","1","DET","1","90","78","99.2","86.0","90.7",".247",".141",".478","45.9","58.8","12.1","8.9",".424","11.3","23.9",".212",".431","21.4","71.8",".222"
"15","15","2012-12-01","0","SAS","0","95","99","93.5","97.5","92.0",".222",".152",".437","52.0","69.4","9.8","6.7",".384","14.9","34.0",".192",".455","13.8","72.3",".202"
"16","16","2012-12-04","1","PHO","1","108","98","111.0","100.7","88.1",".365",".224",".547","61.0","32.5","11.3","13.2",".494","16.2","39.5",".282",".500","14.9","79.5",".195"
"17","17","2012-12-07","0","NOH","1","96","89","112.1","103.9","85.6",".306",".236",".588","61.3","63.9","10.5","10.2",".556","16.4","31.4",".222",".533","13.0","87.5",".120"
"18","18","2012-12-08","1","ATL","0","83","93","95.6","107.1","86.8",".234",".208",".489","47.6","45.5","9.2","8.3",".468","15.9","26.8",".143",".487","13.7","67.4",".234"
"19","19","2012-12-12","0","PHO","0","80","82","98.7","101.1","81.1",".164",".137",".511","47.6","57.6","7.4","13.4",".466","16.1","28.6",".164",".410","10.5","61.2",".101"
"20","20","2012-12-14","0","DEN","0","94","99","103.2","108.7","91.1",".106",".202",".478","51.4","69.2","9.9","13.6",".452","14.0","36.4",".096",".551","19.1","75.0",".333"
"21","21","2012-12-15","0","UTA","1","99","86","112.0","97.3","88.4",".282",".129",".518","57.8","42.1","10.2","7.0",".471","11.2","39.1",".224",".453","15.1","81.1",".257"
"22","22","2012-12-17","1","CHI","1","80","71","92.8","82.4","86.2",".238",".138",".453","56.7","53.3","8.1","7.8",".413","16.9","38.3",".175",".387","16.0","76.7",".173"
"23","23","2012-12-19","1","MIL","1","90","80","95.6","85.0","94.2",".216",".091",".467","56.0","72.2","11.7","9.2",".426","14.2","34.0",".170",".382","14.6","78.0",".176"
"24","24","2012-12-21","1","DAL","1","92","82","100.1","89.2","91.9",".225",".146",".470","52.8","63.9","16.3","5.5",".421","13.3","35.4",".191",".447","20.9","73.2",".184"
"25","25","2012-12-22","0","HOU","0","96","121","99.6","125.5","96.4",".177",".165",".564","49.3","54.8","7.3","9.3",".544","18.2","21.6",".127",".610","13.8","76.3",".256"
"26","26","2012-12-26","1","PHI","0","89","99","100.7","112.1","88.3",".189",".167",".457","49.3","62.9","11.3","7.3",".417","11.8","33.3",".156",".585","16.5","73.3",".225"
"27","27","2012-12-29","1","DEN","1","81","72","100.6","89.5","80.5",".079",".213",".440","54.4","52.8","11.2","11.5",".433","8.0","35.4",".045",".449","17.4","76.2",".162"
"28","28","2012-12-31","0","IND","0","83","88","97.6","103.5","85.0",".293",".134",".448","53.7","54.8","11.8","11.1",".396","14.7","40.0",".220",".486","18.3","70.3",".286"
"29","29","2013-01-02","0","BOS","1","93","83","111.6","99.6","83.3",".310",".254",".576","59.1","67.6","9.6","6.1",".535","13.9","25.0",".239",".507","11.4","91.2",".155"
