"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2012-11-01","0","SAS","0","84","86","92.2","94.4","91.1",".299",".221",".482","55.2","62.1","6.6","8.3",".422","17.1","26.7",".247",".475","13.1","85.7",".139"
"2","2","2012-11-02","1","POR","1","106","92","112.0","97.2","94.6",".421",".118",".588","51.6","46.2","2.1","15.9",".546","11.8","19.5",".303",".410","9.9","78.0",".213"
"3","3","2012-11-04","1","ATL","0","95","104","105.9","116.0","89.7",".310",".310",".589","49.3","81.8","4.5","15.5",".528","19.9","21.2",".282",".542","9.8","71.4",".169"
"4","4","2012-11-06","1","TOR","1","108","88","109.3","89.0","98.8",".459",".338",".607","55.4","68.6","10.1","16.7",".534","16.0","19.4",".392",".399","15.2","83.0",".250"
"5","5","2012-11-08","0","CHI","1","97","91","101.5","95.3","95.5",".288",".178",".590","48.1","63.9","10.5","11.6",".527","21.1","21.6",".274",".446","17.9","71.4",".190"
"6","6","2012-11-09","1","DET","1","105","94","116.2","104.1","90.3",".366",".282",".637","48.1","55.3","8.9","5.9",".592","16.3","24.2",".296",".448","13.4","65.2",".184"
"7","7","2012-11-11","1","CLE","1","106","91","110.9","95.2","95.6",".301",".205",".641","53.2","50.0","7.3","16.7",".596","20.3","13.3",".260",".452","11.4","78.7",".193"
"8","8","2012-11-12","0","DET","1","92","90","101.4","99.2","90.7",".575",".137",".503","53.0","37.0","7.7","18.2",".377","13.3","25.7",".507",".434","10.4","72.9",".217"
"9","9","2012-11-14","1","MEM","0","97","107","108.8","120.0","89.2",".361",".181",".581","50.6","65.7","6.7","7.9",".528","15.2","27.0",".292",".511","7.5","71.4",".129"
"10","10","2012-11-16","0","NOH","1","110","95","128.8","111.2","85.4",".270",".392",".664","47.4","77.5","8.2","10.6",".635","13.6","21.9",".216",".468","10.9","65.9",".282"
"11","11","2012-11-18","1","GSW","1","119","109","127.6","116.9","93.3",".313",".241",".630","53.3","73.8","9.6","4.5",".584","9.6","27.0",".265",".555","12.4","78.9",".220"
"12","12","2012-11-21","1","LAC","1","117","111","116.8","110.8","90.7",".494",".291",".608","49.4","55.6","12.0","6.8",".525","16.5","30.0",".430",".468","11.5","65.3",".258"
"13","13","2012-11-23","0","BOS","0","100","108","105.0","113.4","95.2",".304",".304",".558","52.6","59.5","6.3","11.1",".506","15.2","22.2",".253",".544","14.2","80.0",".263"
"14","14","2012-11-24","0","PHI","1","116","109","120.9","113.6","86.9",".420",".239",".556","49.4","53.8","11.5","7.0",".477","10.3","36.7",".364",".533","13.2","66.7",".132"
"15","15","2012-11-26","1","CHA","1","114","69","128.3","77.6","88.9",".295",".346",".647","59.3","77.5","3.4","12.3",".596","13.7","25.7",".269",".329","11.0","80.4",".215"
"16","16","2012-11-28","1","HOU","1","120","98","126.4","103.2","94.9",".253",".253",".621","54.8","55.3","10.5","16.7",".592","13.4","40.5",".195",".460","13.8","66.0",".207"
"17","17","2012-11-30","1","UTA","1","106","94","115.8","102.7","91.5",".440",".120",".592","54.0","53.8","12.0","20.3",".547","19.0","45.7",".320",".451","15.6","59.6",".120"
"18","18","2012-12-01","0","NOH","1","100","79","115.3","91.1","86.7",".215",".203",".578","51.1","52.5","11.5","21.1",".551","13.9","28.9",".165",".407","14.4","68.0",".160"
"19","19","2012-12-04","0","BRK","1","117","111","128.1","121.5","91.4",".515",".212",".723","45.2","55.0","5.5","12.3",".659","12.9","7.7",".455",".505","10.6","66.0",".209"
"20","20","2012-12-07","1","LAL","1","114","108","119.4","113.1","95.5",".333",".202",".592","44.4","53.7","6.3","5.4",".542","12.7","26.8",".274",".494","14.8","62.5",".298"
"21","21","2012-12-09","1","IND","1","104","93","122.7","109.7","84.8",".395",".250",".583","54.1","43.2","4.7","7.7",".520","9.2","26.5",".329",".500","7.4","77.5",".134"
