"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"34","34","2016-01-02","0","CHO","1","109","90","116.9","96.5","93.2",".468",".291",".572","60.9","57.1","2.1","24.2",".500","11.2","27.0",".380",".381","3.9","86.0",".310"
"35","35","2016-01-04","1","SAC","0","104","116","102.3","114.1","101.7",".258",".326",".525","44.8","59.0","6.9","12.5",".494","13.1","23.9",".180",".489","12.4","68.3",".326"
"36","36","2016-01-06","1","MEM","1","112","94","115.9","97.3","96.6",".398",".205",".574","57.1","52.6","3.1","8.7",".506","13.3","30.2",".337",".428","7.4","81.3",".189"
"37","37","2016-01-08","0","LAL","1","117","113","125.5","121.2","93.2",".292",".191",".582","57.0","37.8","8.6","5.2",".534","11.5","40.0",".247",".530","10.4","74.4",".286"
"38","38","2016-01-10","0","POR","0","110","115","110.2","115.2","99.8",".474",".276",".599","44.7","62.2","8.0","10.7",".553","17.1","20.0",".342",".515","13.1","63.0",".120"
"39","39","2016-01-12","0","MIN","1","101","96","104.0","98.9","97.1",".214",".262",".549","47.7","53.8","10.3","4.8",".518","14.8","19.0",".167",".488","16.5","75.0",".210"
"40","40","2016-01-13","1","DAL","1","108","89","109.3","90.1","98.8",".354",".402",".570","56.8","63.2","11.1","9.8",".555","16.0","28.3",".207",".427","14.7","83.7",".232"
"41","41","2016-01-15","1","MIN","1","113","93","127.7","105.1","88.5",".247",".258",".573","47.1","66.0","11.3","9.6",".556","5.7","29.3",".157",".429","11.2","63.6",".235"
"42","42","2016-01-17","1","MIA","1","99","74","111.2","83.1","89.0",".136",".250",".531","55.0","60.0","12.4","13.8",".494","13.0","31.0",".136",".444","19.8","81.6",".139"
"43","43","2016-01-19","0","DEN","1","110","104","107.3","101.4","102.6",".309",".289",".499","52.0","73.2","10.7","7.9",".454","10.6","30.8",".227",".464","14.7","75.0",".325"
"44","44","2016-01-20","1","CHO","1","109","95","110.3","96.1","98.8",".361",".289",".567","60.0","71.8","9.1","5.6",".524","17.2","33.3",".265",".475","15.1","86.0",".222"
"45","45","2016-01-22","0","DAL","1","109","106","118.3","115.1","92.1",".165",".330",".558","58.8","40.0","3.3","11.1",".538","12.5","39.5",".121",".517","7.8","81.1",".184"
"46","46","2016-01-24","0","BRK","0","106","116","109.2","119.5","97.0",".204",".280",".523","48.4","46.5","7.2","6.5",".505","12.1","31.1",".129",".521","9.5","64.0",".191"
"47","47","2016-01-26","0","NYK","1","128","122","121.0","115.3","95.8",".293",".202",".573","58.4","50.0","6.6","2.8",".520","10.4","32.7",".253",".521","7.7","82.7",".242"
"48","48","2016-01-27","0","MIN","1","126","123","132.1","129.0","95.4",".231",".220",".628","57.3","47.9","0.0","7.9",".582","10.7","39.5",".220",".583","7.3","72.7",".200"
"49","49","2016-01-29","1","HOU","1","116","108","109.0","101.5","106.4",".349",".221",".585","58.8","56.1","5.6","12.5",".523","15.4","27.5",".302",".426","8.1","80.7",".284"
"50","50","2016-02-01","1","WAS","1","114","98","114.6","98.5","99.5",".325",".265",".601","66.3","58.1","9.0","8.3",".560","15.9","35.9",".253",".506","12.3","95.1",".128"
"51","51","2016-02-03","1","ORL","1","117","114","123.9","120.8","94.4",".269",".290",".563","56.2","56.8","7.4","13.9",".522","11.1","41.3",".215",".547","8.2","72.1",".105"
"52","52","2016-02-06","0","GSW","0","108","116","106.7","114.6","101.2",".435",".259",".533","52.1","61.1","9.9","7.0",".465","12.9","26.7",".341",".531","8.6","74.5",".134"
"53","53","2016-02-08","0","PHO","1","122","106","128.2","111.4","95.2",".353",".388",".621","51.4","54.8","8.4","8.1",".582","12.5","34.1",".271",".514","15.9","72.7",".425"
"54","54","2016-02-11","1","NOP","1","121","95","122.2","95.9","99.0",".267",".372",".629","61.7","62.2","4.0","9.7",".593","15.8","27.3",".221",".449","6.6","85.4",".182"
"55","55","2016-02-19","1","IND","0","98","101","98.8","101.9","99.1",".104",".271",".488","51.6","66.7","6.1","6.1",".464","11.5","20.5",".094",".494","10.1","79.6",".159"
"56","56","2016-02-21","1","CLE","0","92","115","102.1","127.6","90.1",".211",".233",".468","44.3","59.5","10.0","12.3",".439","9.2","28.0",".144",".575","11.6","65.8",".288"
"57","57","2016-02-24","0","DAL","1","116","103","122.8","109.1","94.4",".247",".371",".588","55.3","65.1","5.3","8.6",".551","11.6","32.6",".202",".459","9.2","74.5",".279"
"58","58","2016-02-25","0","NOP","0","119","123","125.1","129.3","95.1",".256",".221",".622","48.0","53.2","4.2","8.6",".593","12.0","26.5",".198",".589","10.9","65.9",".189"
"59","59","2016-02-27","1","GSW","0","118","121","106.9","109.7","99.9",".271",".271",".549","66.0","50.0","5.4","6.3",".526","17.0","36.4",".177",".547","9.4","92.0",".179"
"60","60","2016-02-29","0","SAC","1","131","116","128.8","114.0","101.7",".317",".415",".701","50.5","59.6","6.9","3.7",".659","18.4","29.4",".280",".481","8.0","62.7",".121"
"61","61","2016-03-02","0","LAC","0","98","103","99.8","104.9","98.2",".112",".357",".476","58.3","56.4","3.1","12.1",".449","14.2","35.3",".102",".454","5.3","78.9",".143"
"62","62","2016-03-03","0","GSW","0","106","121","106.9","122.0","99.1",".314",".233",".541","53.5","55.0","3.0","7.5",".488","12.5","23.4",".256",".603","7.7","89.7",".184"
