"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2013-10-30","0","UTA","1","101","98","101.9","98.8","99.2",".407",".235",".529","50.6","27.3","15.1","7.0",".444","12.0","22.7",".358",".494","19.3","77.8",".253"
"2","2","2013-11-01","0","MIN","0","81","100","85.8","105.9","94.4",".229",".373",".443","48.8","55.2","5.3","10.5",".392","18.7","28.6",".193",".481","14.1","75.7",".338"
"3","3","2013-11-03","1","PHO","1","103","96","104.6","97.5","98.5",".451",".220",".524","48.8","57.1","8.1","9.3",".439","13.2","24.4",".378",".488","20.4","72.1",".225"
"4","4","2013-11-06","1","DAL","1","107","93","107.5","93.5","99.5",".291",".165",".600","55.0","65.1","10.1","8.1",".576","20.5","28.6",".203",".476","18.7","75.6",".141"
"5","5","2013-11-08","0","DET","1","119","110","124.7","115.2","95.5",".537",".207",".587","55.3","59.5","9.4","15.0",".488","11.4","39.5",".476",".489","11.2","68.6",".231"
"6","6","2013-11-10","1","WAS","1","106","105","104.2","103.2","92.1",".239",".217",".521","58.6","51.2","6.9","13.6",".478","14.3","32.0",".196",".523","10.8","85.7",".148"
"7","7","2013-11-13","0","LAC","0","103","111","101.4","109.3","101.6",".440",".213",".575","41.2","77.1","11.8","5.2",".507","19.7","20.0",".360",".488","17.9","60.0",".314"
"8","8","2013-11-14","0","GSW","0","115","116","120.7","121.7","95.3",".350",".275",".623","60.8","48.8","4.2","4.2",".569","17.1","37.1",".300",".553","6.5","79.5",".128"
"9","9","2013-11-16","0","MIL","1","92","79","100.2","86.0","91.8",".329",".207",".490","49.5","50.0","7.6","9.4",".445","10.5","24.0",".232",".395","14.7","73.6",".128"
"10","10","2013-11-18","1","DEN","1","115","113","116.3","114.2","98.9",".344",".290",".537","54.1","63.2","6.1","10.0",".478","10.1","35.2",".280",".530","9.7","77.3",".301"
"11","11","2013-11-21","1","LAC","1","105","91","107.8","93.4","97.4",".367",".241",".572","54.4","61.0","7.2","10.9",".544","15.6","22.5",".241",".457","9.2","80.0",".076"
"12","12","2013-11-24","1","UTA","1","95","73","102.9","79.1","92.3",".310",".169",".589","58.2","66.7","10.8","7.5",".542","16.5","15.6",".254",".423","17.7","87.2",".183"
"13","13","2013-11-27","1","SAS","1","94","88","99.1","92.8","94.9",".179",".179",".519","53.1","61.5","5.3","9.2",".488","15.0","25.0",".143",".429","10.9","76.9",".098"
"14","14","2013-11-29","1","GSW","1","113","112","104.3","103.4","98.1",".457",".196",".511","51.0","44.4","7.4","13.0",".424","9.8","22.0",".380",".484","12.2","77.8",".211"
"15","15","2013-12-01","1","MIN","1","113","103","117.7","107.3","96.0",".103",".218",".621","48.3","53.1","8.3","16.7",".615","14.2","20.5",".069",".466","10.7","70.0",".225"
"16","16","2013-12-03","0","SAC","1","97","95","106.4","104.2","91.2",".241",".241",".528","53.4","58.3","5.5","8.3",".476","14.0","26.3",".217",".449","7.6","74.0",".169"
"17","17","2013-12-04","0","POR","0","104","111","108.6","115.9","95.7",".270",".124",".522","47.8","28.2","7.3","9.3",".466","11.5","29.5",".236",".490","9.4","65.2",".153"
"18","18","2013-12-06","0","NOP","1","109","95","113.7","99.1","95.9",".390",".273",".604","45.6","51.3","9.4","15.3",".552","13.4","18.9",".312",".392","13.4","64.2",".295"
"19","19","2013-12-08","1","IND","1","118","94","125.7","100.1","93.9",".260",".169",".688","61.3","57.4","6.4","12.5",".643","17.3","33.3",".247",".441","12.1","80.0",".224"
"20","20","2013-12-10","0","ATL","1","101","92","100.4","91.4","100.6",".326",".209",".514","54.5","71.1","8.0","11.5",".465","14.0","23.3",".244",".408","13.2","78.6",".241"
"21","21","2013-12-11","0","MEM","1","116","100","120.2","103.6","96.5",".465",".254",".678","56.0","55.0","8.3","7.6",".627","19.7","25.0",".380",".457","11.1","79.1",".321"
"22","22","2013-12-13","1","LAL","1","122","97","121.2","96.4","100.6",".232",".253",".559","59.0","72.3","13.9","12.9",".515","11.4","43.5",".202",".454","15.9","72.2",".207"
"23","23","2013-12-15","1","ORL","1","101","98","105.0","101.9","96.2",".230",".218",".527","50.0","59.0","10.4","12.1",".477","11.9","23.4",".207",".494","13.0","79.1",".207"
"24","24","2013-12-17","0","DEN","1","105","93","106.1","94.0","99.0",".227",".250",".542","55.2","44.2","10.1","7.4",".517","15.7","28.6",".159",".443","13.4","75.9",".184"
"25","25","2013-12-19","1","CHI","1","107","95","111.2","98.7","96.2",".167",".179",".593","51.8","60.5","12.5","14.6",".565","15.1","21.6",".143",".429","14.5","76.1",".377"
"26","26","2013-12-21","0","SAS","1","113","100","118.5","104.9","95.4",".205",".307",".589","56.5","51.2","6.3","14.3",".557","11.1","25.0",".170",".482","10.5","84.4",".256"
"27","27","2013-12-22","1","TOR","0","98","104","101.0","107.2","97.1",".474",".303",".534","52.8","60.7","7.2","9.9",".414","17.1","30.2",".461",".440","11.1","73.9",".264"
"28","28","2013-12-25","0","NYK","1","123","94","128.2","98.0","95.9",".310",".286",".644","52.3","71.1","8.3","4.5",".613","9.5","21.1",".238",".456","10.9","76.0",".133"
"29","29","2013-12-27","0","CHA","1","89","85","101.8","97.2","87.5",".300",".313",".491","52.7","57.6","2.3","8.8",".463","10.8","22.7",".188",".431","8.3","80.9",".200"
"30","30","2013-12-29","1","HOU","1","117","86","124.1","91.2","94.3",".195",".268",".657","56.3","59.6","6.4","8.8",".634","10.1","12.9",".159",".406","8.4","80.4",".200"
"31","31","2013-12-31","1","POR","0","94","98","101.6","105.9","92.5",".317",".171",".503","54.7","41.7","3.2","6.9",".457","9.7","23.3",".232",".440","5.6","80.8",".198"
"32","32","2014-01-02","1","BRK","0","93","95","103.0","105.2","90.3",".279",".324",".609","49.3","58.8","10.0","13.0",".566","21.6","19.4",".235",".507","18.5","75.0",".343"
"33","33","2014-01-04","0","MIN","1","115","111","107.3","103.5","107.2",".337",".289",".603","52.9","55.0","6.5","10.8",".530","18.8","24.4",".325",".495","12.3","79.5",".191"
"34","34","2014-01-05","1","BOS","1","119","96","131.0","105.7","90.8",".373",".229",".616","53.8","65.1","11.0","8.8",".572","8.5","32.4",".289",".506","14.2","72.1",".188"
"35","35","2014-01-07","0","UTA","0","101","112","106.9","118.6","94.5",".348",".382",".492","50.0","51.4","13.8","4.0",".427","8.9","28.8",".281",".647","17.2","89.3",".353"
"36","36","2014-01-09","0","DEN","0","88","101","90.8","104.2","96.9",".318",".282",".454","46.5","36.7","8.3","16.9",".388","11.0","16.3",".259",".489","10.9","76.0",".144"
"37","37","2014-01-11","1","MIL","1","101","85","113.6","95.6","88.9",".314",".291",".516","59.2","68.6","6.7","14.0",".465","14.8","43.8",".244",".469","14.7","74.0",".111"
"38","38","2014-01-14","0","MEM","0","87","90","94.1","97.3","92.5",".247",".259",".484","51.1","36.4","5.4","7.6",".438","17.5","27.3",".198",".425","12.4","75.0",".275"
"39","39","2014-01-16","0","HOU","1","104","92","108.3","95.8","96.0",".305",".305",".559","52.8","47.4","11.5","16.7",".500","13.9","23.8",".268",".476","15.7","78.7",".171"
"40","40","2014-01-17","1","GSW","1","127","121","128.1","122.0","99.2",".407",".272",".665","55.4","48.9","13.1","7.3",".636","15.1","36.4",".296",".622","14.9","70.7",".232"
"41","41","2014-01-19","1","SAC","1","108","93","114.7","98.8","94.2",".349",".244",".544","50.6","59.0","13.8","6.7",".506","13.9","36.2",".244",".461","18.3","66.7",".286"
"42","42","2014-01-21","1","POR","1","105","97","122.1","112.8","86.0",".195",".172",".556","50.0","38.1","3.5","11.9",".540","6.9","31.9",".126",".506","8.8","69.8",".116"
"43","43","2014-01-22","0","SAS","1","111","105","121.3","114.7","91.5",".193",".217",".616","55.9","46.7","8.7","13.2",".602","14.3","33.3",".133",".600","16.7","77.1",".200"
"44","44","2014-01-24","0","BOS","1","101","83","116.8","96.0","86.5",".163",".163",".589","58.4","55.8","9.3","4.2",".569","14.9","36.4",".125",".460","16.1","75.0",".187"
"45","45","2014-01-25","0","PHI","1","103","91","108.1","95.5","95.3",".329",".276",".592","50.0","57.5","10.5","12.7",".553","18.7","26.5",".250",".400","12.8","64.8",".211"
"46","46","2014-01-27","1","ATL","1","111","109","123.3","121.1","90.0",".220",".305",".617","45.2","53.5","8.9","15.9",".604","13.5","28.6",".146",".557","13.9","60.5",".125"
"47","47","2014-01-29","0","MIA","1","112","95","126.6","107.4","88.5",".238",".338",".634","47.9","56.1","14.7","3.8",".613","12.0","28.9",".175",".535","19.7","69.7",".250"
"48","48","2014-01-31","0","BRK","1","120","95","134.4","106.4","89.3",".260",".195",".699","70.7","57.1","10.1","14.0",".669","15.7","41.7",".221",".547","13.8","91.2",".189"
"49","49","2014-02-01","0","WAS","0","81","96","86.7","102.8","93.4",".218",".308",".474","51.7","61.3","4.3","7.7",".423","19.7","23.9",".192",".506","9.7","81.4",".067"
"50","50","2014-02-03","1","MEM","1","86","77","99.3","88.9","86.6",".303",".237",".499","55.7","50.0","8.1","13.8",".474","15.7","29.4",".184",".407","11.2","75.6",".136"
"51","51","2014-02-05","1","MIN","1","106","97","117.5","107.5","90.3",".121",".297",".553","55.7","56.8","8.9","10.3",".538","14.3","40.4",".088",".513","13.7","73.2",".218"
"52","52","2014-02-07","0","ORL","0","102","103","113.6","114.7","89.8",".260",".301",".627","48.6","67.6","6.7","13.2",".575","16.4","13.3",".247",".506","9.0","75.0",".275"
"53","53","2014-02-09","1","NYK","1","112","100","123.6","110.3","90.6",".370",".370",".660","51.9","70.0","6.6","8.1",".630","10.5","16.1",".274",".494","11.2","75.0",".174"
"54","54","2014-02-11","0","POR","1","98","95","103.6","100.5","94.6",".145",".169",".555","51.2","35.0","8.5","4.8",".524","15.3","25.6",".133",".418","14.9","72.3",".282"
"55","55","2014-02-13","0","LAL","1","107","103","103.4","99.5","103.5",".273",".318",".543","51.2","59.0","13.5","14.5",".489","12.4","20.5",".239",".542","19.2","83.3",".157"
"56","56","2014-02-20","1","MIA","0","81","103","86.7","110.3","93.4",".405",".270",".464","48.1","53.6","11.8","3.7",".392","18.7","25.0",".311",".580","17.6","77.1",".213"
"57","57","2014-02-23","1","LAC","0","117","125","113.2","120.9","103.4",".258",".312",".565","45.7","60.5","8.7","5.9",".527","11.9","22.7",".204",".599","14.8","73.0",".346"
"58","58","2014-02-26","1","CLE","0","104","114","109.6","120.1","94.9",".213",".388",".594","49.4","66.7","8.4","10.0",".569","17.8","28.2",".163",".529","14.2","69.0",".267"
"59","59","2014-02-28","1","MEM","1","113","107","128.1","121.3","88.2",".416",".286",".620","54.2","47.4","11.3","12.5",".558","13.3","38.5",".351",".575","11.9","72.7",".188"
"60","60","2014-03-02","1","CHA","1","116","99","120.2","102.6","96.5",".366",".268",".609","60.3","46.3","10.4","15.2",".549","13.6","28.9",".317",".500","14.9","94.3",".456"
"61","61","2014-03-04","1","PHI","1","125","92","117.3","86.3","106.6",".566",".263",".658","60.0","72.1","11.3","15.6",".612","18.8","26.5",".421",".394","13.9","78.7",".191"
"62","62","2014-03-06","0","PHO","0","122","128","124.7","130.8","97.8",".211",".367",".620","42.9","46.7","7.2","7.5",".572","8.4","17.5",".211",".619","12.6","70.3",".363"
"63","63","2014-03-09","0","LAL","0","110","114","105.0","108.9","104.7",".210",".350",".503","62.1","61.9","10.5","4.0",".480","12.8","35.2",".140",".549","13.7","97.6",".309"
"64","64","2014-03-11","1","HOU","1","106","98","108.5","100.3","97.7",".425",".363",".558","52.1","52.9","5.1","13.0",".494","12.0","17.8",".338",".475","12.2","83.7",".291"
"65","65","2014-03-13","1","LAL","1","131","102","126.3","98.3","103.7",".337",".337",".641","61.9","53.3","9.6","16.4",".579","14.3","34.2",".315",".463","11.8","79.7",".160"
"66","66","2014-03-16","1","DAL","0","86","109","94.0","119.1","91.5",".342",".367",".473","44.0","58.6","5.5","7.8",".424","13.3","22.7",".241",".620","17.7","74.2",".213"
"67","67","2014-03-17","0","CHI","1","97","85","109.7","96.1","88.5",".373",".333",".555","50.0","64.5","3.4","9.7",".500","11.2","15.4",".293",".375","4.9","75.5",".262"
"68","68","2014-03-20","0","CLE","1","102","95","110.9","103.3","92.0",".225",".348",".521","59.6","55.3","8.7","11.9",".483","14.1","40.0",".180",".494","11.6","79.5",".185"
"69","69","2014-03-21","0","TOR","1","119","118","103.0","102.2","95.6",".388",".367",".519","45.2","47.4","8.7","5.6",".449","10.9","17.3",".316",".446","13.5","73.1",".277"
"70","70","2014-03-24","1","DEN","1","117","96","115.8","95.0","101.0",".236",".247",".595","48.8","71.1","12.9","12.2",".567","12.5","18.9",".180",".448","17.5","73.3",".351"
"71","71","2014-03-25","0","DAL","0","119","128","109.5","117.7","98.5",".204",".355",".587","44.2","58.7","8.3","3.8",".559","17.2","21.7",".161",".583","16.4","70.0",".256"
"72","72","2014-03-28","1","SAC","1","94","81","105.5","90.9","89.1",".362",".333",".588","43.7","78.8","9.0","11.9",".543","14.9","8.6",".275",".418","14.8","67.3",".118"
"73","73","2014-03-30","1","UTA","1","116","96","128.0","105.9","90.6",".351",".243",".679","51.2","63.4","6.6","10.8",".628","12.3","22.6",".311",".453","12.7","68.6",".209"
"74","74","2014-04-03","1","SAS","1","106","94","112.3","99.6","94.4",".284",".222",".582","48.1","45.0","14.8","7.6",".531","12.5","21.6",".247",".483","16.2","70.5",".102"
"75","75","2014-04-04","0","HOU","0","107","111","112.6","116.8","95.0",".235",".365",".570","50.0","63.2","5.3","17.0",".524","13.0","21.7",".212",".506","10.4","79.5",".410"
"76","76","2014-04-06","0","PHO","0","115","122","116.9","124.0","98.4",".381",".381",".586","51.4","42.5","6.1","7.4",".530","10.9","18.4",".310",".656","11.7","86.1",".273"
"77","77","2014-04-08","0","SAC","1","107","92","124.3","106.9","86.1",".338",".275",".582","47.0","60.5","5.8","5.9",".550","6.1","24.4",".238",".433","8.7","69.0",".256"
"78","78","2014-04-09","0","LAC","1","107","101","108.7","102.6","98.5",".356",".233",".514","45.8","47.4","8.1","13.6",".450","7.1","22.9",".289",".465","13.7","68.8",".244"
"79","79","2014-04-11","1","NOP","1","116","94","121.6","98.5","95.4",".329",".159",".618","57.3","63.6","8.4","17.6",".567","10.5","22.9",".280",".459","11.3","83.0",".174"
"80","80","2014-04-13","0","IND","0","97","102","106.1","111.6","91.4",".226",".333",".525","41.0","58.3","13.1","7.7",".470","8.9","18.2",".214",".590","20.4","70.6",".236"
"81","81","2014-04-14","0","NOP","0","89","101","100.0","113.4","89.0",".286",".416",".513","52.4","67.7","6.7","8.0",".461","15.6","27.5",".234",".500","9.8","76.2",".278"
"82","82","2014-04-16","1","DET","1","112","111","118.7","117.6","94.3",".477",".267",".538","54.4","60.5","10.6","10.9",".471","12.6","48.0",".360",".554","15.0","62.5",".229"
