"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"35","35","2017-01-06","1","CLE","0","108","116","98.8","106.1","109.3",".209",".330",".543","53.1","51.2","5.5","1.8",".500","16.1","19.6",".187",".483","10.1","89.4",".352"
"36","36","2017-01-08","1","PHI","0","95","105","89.7","99.1","105.9",".218",".346",".556","46.5","58.3","5.7","11.9",".526","20.5","9.1",".167",".436","10.9","85.7",".245"
"37","37","2017-01-10","1","ATL","0","97","117","96.2","116.0","100.8",".264",".333",".499","47.5","62.9","5.0","5.8",".460","14.9","26.9",".195",".516","9.9","69.4",".239"
"38","38","2017-01-12","1","NOP","0","95","104","88.4","96.8","107.4",".113",".433",".466","50.0","55.0","9.3","10.3",".459","13.6","14.6",".062",".483","13.7","82.7",".189"
"39","39","2017-01-13","0","TOR","0","113","132","113.4","132.5","99.6",".233",".419",".596","41.7","65.0","5.0","1.4",".564","10.4","10.0",".186",".593","7.0","70.5",".175"
"40","40","2017-01-15","1","HOU","0","112","137","107.3","131.3","104.4",".204",".473",".552","42.2","70.7","8.6","10.4",".522","13.6","18.8",".161",".614","10.9","69.0",".261"
"41","41","2017-01-17","1","TOR","0","109","119","112.1","122.4","97.2",".270",".292",".547","48.2","50.0","7.2","8.2",".489","11.5","24.4",".247",".576","8.3","75.0",".141"
"42","42","2017-01-20","0","NOP","1","143","114","137.7","109.7","103.9",".422",".361",".727","52.5","50.0","4.8","8.5",".669","14.0","23.7",".386",".462","7.3","70.5",".162"
"43","43","2017-01-21","0","CHO","0","105","112","105.9","112.9","99.2",".170",".466",".555","46.5","78.9","9.1","5.8",".528","11.3","9.1",".136",".561","12.4","85.7",".244"
"44","44","2017-01-23","1","SAS","0","86","112","89.5","116.5","96.1",".222",".309",".484","43.2","43.8","2.1","6.8",".426","15.2","11.9",".210",".521","7.3","71.7",".137"
"45","45","2017-01-25","1","MIA","0","106","109","108.5","111.5","97.7",".325",".438",".580","45.2","57.1","3.1","6.7",".519","14.1","10.5",".288",".548","9.6","82.9",".217"
"46","46","2017-01-27","0","CLE","0","116","124","114.3","122.1","101.5",".184",".379",".617","44.0","53.5","8.9","3.6",".586","9.6","9.5",".161",".603","12.2","78.6",".141"
"47","47","2017-01-28","0","MIN","0","109","129","105.5","124.8","103.4",".294",".247",".568","44.9","48.8","5.8","8.2",".524","12.7","12.2",".235",".554","9.3","72.9",".280"
"48","48","2017-01-30","0","MIA","0","96","104","100.8","109.2","95.2",".253",".299",".496","60.9","43.2","7.4","7.1",".448","14.2","34.1",".207",".543","10.7","88.4",".183"
"49","49","2017-02-01","1","NYK","0","90","95","89.7","94.7","100.3",".182",".284",".473","45.8","45.9","4.0","9.7",".449","17.4","24.5",".125",".384","10.3","63.8",".192"
"50","50","2017-02-03","1","IND","0","97","106","96.1","105.0","101.0",".267",".326",".505","47.3","62.5","6.9","6.1",".436","16.5","19.6",".256",".477","12.3","74.5",".279"
"51","51","2017-02-05","1","TOR","0","95","103","97.7","105.9","97.3",".276",".447",".557","48.3","59.4","8.2","10.3",".507","19.8","15.9",".237",".489","10.3","81.4",".207"
"52","52","2017-02-07","0","CHO","0","107","111","101.8","105.6","105.2",".244",".419",".562","46.9","66.7","2.9","10.5",".523","13.6","9.3",".198",".426","5.7","77.4",".235"
"53","53","2017-02-08","1","WAS","0","110","114","105.2","109.1","94.7",".396",".363",".515","50.5","52.6","5.7","6.9",".467","13.0","28.8",".275",".459","9.7","70.2",".258"
"54","54","2017-02-10","1","MIA","0","99","108","100.1","109.2","98.9",".346",".247",".530","51.1","54.3","4.0","8.7",".481","19.1","31.3",".259",".484","12.1","71.7",".207"
"55","55","2017-02-13","1","MEM","0","103","112","109.7","119.3","93.9",".220",".451",".573","43.8","60.5","8.5","0.0",".537","11.8","14.3",".183",".565","11.9","83.9",".325"
"56","56","2017-02-15","1","MIL","0","125","129","120.2","124.0","104.0",".261",".409",".637","51.9","65.2","6.7","11.0",".602","14.8","22.0",".216",".608","8.9","82.5",".250"
"57","57","2017-02-24","0","DEN","0","109","129","101.4","120.0","107.5",".373",".361",".564","45.2","65.9","6.5","6.1",".554","16.4","14.9",".205",".577","10.8","76.1",".175"
"58","58","2017-02-25","0","GSW","0","95","112","91.1","107.4","104.2",".181",".298",".468","50.0","65.8","7.7","4.3",".447","13.6","22.0",".117",".475","9.1","75.9",".170"
"59","59","2017-03-01","0","SAC","1","109","100","115.7","106.1","94.2",".486",".378",".607","53.1","47.1","8.5","3.4",".534","16.7","26.3",".405",".500","14.2","76.7",".235"
"60","60","2017-03-03","0","UTA","0","97","112","99.1","114.5","97.9",".270",".337",".487","48.3","33.3","6.1","6.3",".444","10.8","18.4",".202",".595","12.8","86.8",".324"
"61","61","2017-03-04","0","POR","0","116","130","118.7","133.1","97.7",".198",".349",".620","45.6","53.3","7.2","9.8",".605","12.2","20.5",".140",".663","11.1","79.3",".186"
"62","62","2017-03-06","0","MEM","1","122","109","124.5","111.2","98.0",".521",".411",".680","52.6","41.0","12.2","9.6",".630","15.1","19.4",".411",".506","13.7","81.0",".403"
"63","63","2017-03-08","0","ATL","0","105","110","97.5","102.1","107.7",".313",".413",".577","46.0","75.7","6.5","14.7",".531","19.5","12.2",".250",".453","12.1","76.1",".253"
"64","64","2017-03-10","0","DAL","0","96","105","100.9","110.4","95.1",".295",".397",".545","42.7","67.6","9.5","4.4",".494","12.0","9.1",".244",".513","14.2","81.6",".321"
"65","65","2017-03-12","1","NYK","1","120","112","120.2","112.2","99.8",".333",".437",".601","56.1","57.5","7.0","4.2",".569","10.7","28.9",".241",".457","7.7","79.2",".277"
"66","66","2017-03-14","1","OKC","0","104","122","105.8","124.1","98.3",".423",".338",".618","42.1","60.6","6.1","9.0",".549","17.6","11.4",".366",".551","11.1","68.3",".270"
"67","67","2017-03-16","0","NYK","1","121","110","122.4","111.3","98.8",".407",".372",".597","60.0","46.3","5.1","2.9",".535","11.4","31.0",".337",".483","6.6","88.4",".284"
"68","68","2017-03-17","1","BOS","0","95","98","96.7","99.7","98.3",".361",".422",".494","44.6","76.7","7.1","12.5",".428","9.4","12.2",".289",".441","10.9","81.4",".271"
"69","69","2017-03-19","1","DAL","0","104","111","111.8","119.3","93.1",".528",".431",".586","55.4","51.6","2.1","2.0",".521","14.5","22.5",".403",".605","10.3","94.1",".250"
"70","70","2017-03-21","1","DET","1","98","96","105.2","103.0","93.2",".216",".330",".509","47.4","57.9","1.1","8.7",".489","9.4","21.2",".136",".462","5.7","77.8",".120"
"71","71","2017-03-23","1","PHO","1","126","98","114.5","89.0","110.1",".442",".305",".555","55.0","58.1","10.0","7.4",".495","13.0","32.7",".337",".403","15.0","74.6",".247"
"72","72","2017-03-24","0","WAS","0","108","129","106.4","127.1","101.5",".317",".183",".578","45.2","55.8","4.9","5.6",".543","13.0","14.6",".232",".557","8.6","74.4",".216"
"73","73","2017-03-26","0","ATL","1","107","92","104.9","90.2","102.0",".349",".256",".539","46.3","55.3","12.7","9.9",".477","14.6","27.3",".291",".372","15.1","59.4",".194"
"74","74","2017-03-28","1","PHI","0","101","106","99.0","103.9","102.0",".255",".340",".483","48.5","57.9","10.8","8.6",".452","11.1","24.1",".170",".484","13.8","75.5",".198"
"75","75","2017-03-30","0","DET","0","89","90","90.9","91.9","97.9",".130",".337",".457","46.5","48.6","4.1","5.9",".435","11.0","16.0",".098",".459","14.6","77.6",".128"
"76","76","2017-04-01","1","ORL","1","121","111","121.0","111.0","100.0",".170",".330",".599","51.2","52.0","8.0","7.6",".574","9.8","22.5",".138",".549","12.5","76.1",".121"
"77","77","2017-04-02","1","ATL","1","91","82","91.4","82.4","99.5",".244",".402",".501","53.7","65.6","11.1","10.7",".451","17.3","18.2",".207",".419","17.4","84.3",".188"
"78","78","2017-04-04","0","PHI","1","141","118","136.7","114.4","103.1",".440",".413",".788","50.0","75.0","8.7","8.5",".747","16.0","4.3",".387",".505","9.2","71.4",".206"
"79","79","2017-04-06","0","ORL","0","107","115","104.8","112.6","102.1",".253",".345",".553","44.8","52.5","6.9","9.2",".523","12.6","15.2",".184",".517","11.4","78.0",".244"
"80","80","2017-04-08","1","CHI","1","107","106","104.8","103.8","102.1",".261",".337",".522","45.8","61.5","14.7","9.1",".478","11.2","19.6",".207",".506","14.8","75.6",".167"
"81","81","2017-04-10","0","BOS","0","105","114","102.0","110.8","102.9",".453",".360",".509","49.0","58.1","7.8","11.3",".407","10.4","17.6",".407",".527","11.5","81.6",".198"
"82","82","2017-04-12","0","CHI","0","73","112","72.9","111.8","100.2",".209",".384",".389","43.6","60.7","8.0","4.6",".343","16.1","17.2",".163",".505","10.3","73.1",".168"
