"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2016-10-26","0","MIL","1","107","96","110.9","99.5","96.5",".270",".258",".537","52.6","67.5","5.2","13.2",".489","9.1","23.4",".225",".440","7.4","80.0",".163"
"2","2","2016-10-28","0","MIA","1","97","91","99.8","93.6","97.2",".261",".239",".473","48.5","57.1","10.3","17.3",".418","7.2","24.1",".217",".453","16.7","76.6",".151"
"3","3","2016-10-29","1","BOS","0","98","104","103.6","110.0","94.6",".418",".405",".524","47.5","68.8","8.5","12.0",".462","7.9","13.6",".316",".574","12.8","88.9",".136"
"4","4","2016-11-02","1","PHI","1","109","93","113.0","96.4","96.5",".329",".430",".603","54.3","64.1","8.3","6.3",".576","14.2","23.7",".228",".465","15.5","81.4",".151"
"5","5","2016-11-04","0","BRK","1","99","95","96.2","92.3","103.0",".279",".349",".513","51.6","66.7","6.8","5.9",".477","14.2","15.2",".198",".454","13.5","85.7",".184"
"6","6","2016-11-07","1","IND","1","122","100","116.6","95.6","104.6",".381",".381",".622","45.3","73.2","11.5","6.6",".560","10.1","7.0",".333",".473","15.2","76.9",".117"
"7","7","2016-11-09","1","UTA","1","104","98","111.9","105.5","92.9",".354",".317",".549","44.6","63.2","8.6","6.3",".512","7.8","12.2",".244",".512","11.8","76.2",".171"
"8","8","2016-11-11","1","TOR","0","111","113","117.1","119.2","94.8",".258",".441",".536","55.9","57.9","1.1","5.9",".500","9.6","32.7",".194",".511","4.8","83.0",".233"
"9","9","2016-11-13","0","CLE","0","93","100","100.6","108.1","92.5",".126",".305",".464","45.9","63.9","7.6","5.6",".437","4.7","19.6",".105",".500","8.4","74.5",".087"
"10","10","2016-11-15","0","MIN","1","115","108","117.3","110.1","98.1",".275",".300",".641","46.3","58.1","10.2","11.1",".606","12.7","12.1",".225",".511","15.5","70.2",".191"
"11","11","2016-11-18","1","ATL","1","100","96","100.3","96.3","99.7",".267",".322",".497","47.3","67.6","11.0","7.1",".467","9.9","16.3",".178",".506","14.9","81.8",".131"
"12","12","2016-11-19","0","NOP","0","116","121","105.1","109.6","100.0",".289",".443",".531","49.5","72.5","6.3","8.1",".490","11.4","15.7",".216",".510","9.2","81.5",".214"
"13","13","2016-11-21","1","MEM","0","90","105","99.7","116.3","90.3",".452",".425",".514","49.4","66.7","6.6","15.5",".473","10.3","19.0",".288",".548","9.9","83.8",".155"
"14","14","2016-11-23","1","SAS","0","114","119","119.8","125.0","95.2",".202",".225",".588","56.4","66.7","3.2","5.5",".567","13.4","31.6",".146",".587","8.7","80.0",".209"
"15","15","2016-11-25","0","NYK","0","111","113","105.7","107.6","95.1",".290",".312",".529","45.5","58.1","5.7","5.8",".505","11.0","19.2",".183",".521","13.5","73.5",".124"
"16","16","2016-11-26","1","NYK","1","107","102","108.3","103.3","98.8",".525",".275",".543","52.5","45.7","3.0","13.4",".488","9.2","21.7",".363",".434","6.9","79.2",".162"
"17","17","2016-11-28","0","MEM","1","104","85","107.5","87.9","96.7",".378",".317",".544","52.8","66.7","3.1","6.7",".494","12.0","20.9",".280",".444","11.2","82.6",".067"
