"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2015-10-28","0","MIA","0","94","104","102.4","113.2","91.8",".345",".286",".486","51.2","48.5","4.4","1.9",".429","7.6","22.0",".262",".575","13.6","94.1",".274"
"2","2","2015-10-30","0","ATL","0","94","97","96.3","99.3","97.7",".148",".341",".501","54.5","63.9","7.2","10.0",".477","16.1","26.0",".114",".482","13.9","83.7",".205"
"3","3","2015-11-01","1","ATL","0","92","94","99.0","101.2","92.9",".174",".430",".497","48.4","84.4","7.5","22.0",".453","10.6","18.8",".163",".460","10.5","80.0",".148"
"4","4","2015-11-03","1","CHI","1","130","105","132.6","107.1","98.1",".253",".253",".643","61.2","55.3","6.1","6.7",".593","8.2","29.3",".242",".567","11.4","90.9",".033"
"5","5","2015-11-05","0","DAL","1","108","94","110.8","96.4","97.5",".191",".303",".560","52.2","43.2","8.2","11.3",".528","10.2","18.2",".157",".427","12.2","83.3",".293"
"6","6","2015-11-07","0","SAS","0","94","114","99.1","120.2","94.8",".425",".260",".542","44.0","44.1","7.4","0.0",".507","14.8","14.3",".274",".611","11.6","81.8",".185"
"7","7","2015-11-10","0","MIN","1","104","95","104.8","95.7","99.3",".346",".333",".579","41.5","47.4","8.1","8.2",".538","15.1","9.5",".256",".506","19.9","75.0",".175"
"8","8","2015-11-11","1","NYK","1","95","93","103.6","101.4","91.7",".333",".274",".493","38.8","60.0","12.0","7.7",".464","4.9","14.6",".202",".512","15.2","70.3",".058"
"9","9","2015-11-13","0","CHI","0","97","102","101.0","106.2","96.1",".126",".347",".484","44.1","58.3","9.4","5.9",".458","5.6","16.1",".105",".464","10.1","78.3",".286"
"10","10","2015-11-15","1","POR","1","106","94","116.2","103.1","91.2",".229",".373",".580","44.6","70.7","6.6","13.2",".548","10.7","18.9",".181",".421","10.9","65.2",".213"
"11","11","2015-11-17","0","NYK","0","94","102","102.0","110.7","92.2",".305",".244",".505","48.3","36.1","7.6","10.1",".470","7.0","18.6",".207",".461","9.2","77.3",".225"
"12","12","2015-11-18","1","BRK","1","116","111","114.3","109.4","101.5",".450",".313",".605","57.0","69.2","4.9","10.5",".556","13.5","22.0",".338",".511","8.2","88.9",".198"
"13","13","2015-11-20","1","PHI","1","113","88","119.1","92.7","94.9",".272",".309",".623","49.4","62.5","7.4","18.9",".568","10.8","13.2",".259",".456","16.1","80.0",".203"
"14","14","2015-11-23","1","SAC","1","127","122","106.1","101.9","108.4",".265",".296",".580","51.1","49.0","8.4","9.6",".546","14.8","17.4",".204",".538","15.3","83.3",".096"
"15","15","2015-11-25","1","WAS","1","101","87","104.7","90.2","96.4",".181",".313",".564","55.4","56.4","5.2","10.9",".518","17.5","23.1",".181",".414","12.9","79.2",".172"
"16","16","2015-11-27","1","CLE","0","90","95","96.7","102.1","93.1",".313",".313",".495","43.2","60.6","7.5","12.5",".444","10.8","15.6",".238",".469","14.8","72.1",".235"
"17","17","2015-11-29","1","MIL","1","87","82","101.5","95.7","85.7",".314",".443",".546","48.3","74.1","7.0","11.1",".493","14.0","17.5",".257",".451","13.7","73.5",".098"
"18","18","2015-12-02","1","GSW","0","99","116","100.6","117.9","98.4",".319",".330",".462","43.6","54.3","10.2","13.0",".420","6.9","23.6",".213",".614","16.2","71.8",".091"
"19","19","2015-12-05","0","CHI","1","102","96","106.6","100.4","95.7",".281",".382",".510","49.0","62.2","10.5","4.7",".472","8.3","24.5",".202",".466","12.6","75.5",".146"
"20","20","2015-12-07","1","DET","1","104","84","105.8","85.5","98.3",".417",".310",".523","58.2","58.3","5.1","9.4",".476","12.3","29.2",".286",".425","11.0","86.0",".115"
"21","21","2015-12-09","1","MIA","1","99","81","105.2","86.1","94.1",".210",".333",".559","48.2","67.5","9.6","9.3",".562","10.2","7.7",".099",".427","16.6","84.1",".227"
"22","22","2015-12-11","0","MEM","1","123","99","130.1","104.7","94.6",".385",".474",".674","50.6","59.0","5.3","8.3",".615","12.5","19.4",".346",".444","11.1","75.6",".350"
"23","23","2015-12-12","1","BOS","0","93","98","95.0","100.1","97.9",".114",".398",".503","55.3","47.2","1.0","7.0",".472","10.6","15.2",".114",".464","4.7","93.8",".094"
"24","24","2015-12-16","0","ORL","0","98","113","103.9","119.8","94.3",".190",".430",".572","45.2","63.9","12.7","5.7",".544","15.7","16.3",".152",".649","16.9","86.7",".169"
"25","25","2015-12-17","1","TOR","1","109","99","104.6","95.0","94.4",".365",".341",".553","52.6","62.2","4.8","15.5",".494","11.6","14.0",".294",".407","6.8","83.3",".206"
"26","26","2015-12-19","0","WAS","0","101","109","104.8","113.1","96.4",".172",".355",".505","57.3","59.0","8.3","6.8",".473","14.5","35.3",".140",".563","13.6","86.8",".253"
"27","27","2015-12-21","0","HOU","0","95","102","99.1","106.4","95.9",".373",".494",".492","41.7","69.0","8.3","7.0",".422","10.2","18.4",".301",".514","17.6","74.3",".408"
"28","28","2015-12-23","1","BOS","0","89","102","92.4","105.9","96.3",".395",".346",".468","47.3","65.5","6.2","10.7",".407","14.4","23.5",".284",".465","11.9","76.2",".271"
"29","29","2015-12-26","1","MEM","1","98","92","106.6","100.1","91.9",".464",".464",".590","47.3","75.0","10.9","18.3",".507","16.1","17.9",".406",".450","11.6","69.2",".122"
"30","30","2015-12-28","1","LAL","1","108","98","109.3","99.2","98.8",".247",".281",".547","52.9","65.1","7.1","10.7",".517","9.2","16.7",".180",".465","10.4","86.7",".224"
"31","31","2015-12-30","1","LAC","0","117","122","126.5","131.9","92.5",".409",".341",".563","51.9","52.6","8.6","7.3",".483","9.6","35.4",".364",".627","11.9","75.8",".465"
