"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"35","35","2015-01-04","1","BRK","1","88","84","101.6","97.0","86.6",".418",".209",".555","52.5","67.7","9.2","14.5",".500","15.0","22.2",".313",".436","10.7","77.3",".105"
"36","36","2015-01-08","0","POR","0","83","99","94.4","112.6","87.9",".390",".182",".460","45.7","51.7","6.8","10.3",".396","9.1","22.2",".286",".463","6.4","68.1",".116"
"37","37","2015-01-11","0","LAC","1","104","90","121.0","104.7","86.0",".296",".259",".568","63.0","71.8","9.3","10.2",".519","11.6","41.7",".247",".513","13.6","83.8",".173"
"38","38","2015-01-13","0","LAL","1","78","75","83.3","80.1","93.6",".192",".205",".461","53.1","69.7","7.5","15.9",".436","17.5","21.4",".128",".337","10.7","76.8",".141"
"39","39","2015-01-14","0","GSW","0","89","104","101.2","118.3","87.9",".380",".254",".537","53.2","63.3","5.7","7.7",".465","17.0","29.7",".324",".549","12.7","75.0",".185"
"40","40","2015-01-16","0","SAC","1","95","83","110.1","96.2","86.3",".284",".230",".571","52.1","74.3","10.4","10.2",".527","9.8","17.1",".230",".473","15.6","84.2",".160"
"41","41","2015-01-20","1","OKC","0","86","94","94.4","103.2","91.1",".279",".324",".563","46.2","62.5","4.4","3.0",".529","19.9","11.8",".206",".478","10.2","72.7",".065"
"42","42","2015-01-21","0","CHO","0","76","78","90.5","92.9","84.0",".179",".214",".419","42.3","48.3","8.3","13.1",".375","7.2","21.7",".155",".363","13.1","60.8",".250"
"43","43","2015-01-23","1","IND","1","89","87","95.0","92.9","93.6",".200",".227",".545","49.3","55.6","8.5","0.0",".507","16.4","12.1",".173",".429","17.0","80.0",".256"
"44","44","2015-01-25","0","CHI","1","96","84","108.9","95.3","88.2",".274",".155",".510","55.7","50.0","6.8","20.6",".458","9.6","31.0",".226",".397","8.6","74.5",".172"
"45","45","2015-01-27","1","MIL","0","102","109","111.8","119.5","91.2",".347",".267",".590","49.3","52.6","5.5","1.8",".553","12.2","14.3",".253",".613","12.5","87.5",".310"
"46","46","2015-01-30","1","DAL","0","72","93","82.8","107.0","86.9",".114",".330",".390","51.5","62.1","6.9","5.7",".381","14.8","32.1",".057",".494","9.9","72.9",".146"
"47","47","2015-02-01","0","BOS","1","83","75","91.6","82.8","90.6",".273",".273",".481","53.5","56.3","7.7","14.5",".442","15.6","23.8",".195",".395","12.8","81.8",".136"
"48","48","2015-02-03","0","DET","0","91","108","109.0","129.3","83.5",".311",".189",".541","43.8","65.7","1.2","8.8",".514","8.7","20.5",".203",".528","5.9","65.9",".170"
"49","49","2015-02-04","0","MIN","0","101","102","108.5","109.5","93.1",".300",".200",".558","59.5","46.2","11.8","4.9",".531","16.6","34.1",".200",".556","14.3","91.4",".306"
"50","50","2015-02-06","0","SAS","0","85","98","97.5","112.4","87.2",".113",".200",".506","46.3","63.9","8.0","5.6",".481","16.0","25.6",".100",".548","15.5","65.9",".084"
"51","51","2015-02-09","1","NYK","1","109","95","122.1","106.4","89.3",".392",".297",".628","50.0","77.8","10.1","7.8",".568","12.2","22.6",".338",".470","12.3","71.8",".190"
"52","52","2015-02-11","0","CLE","0","93","113","102.4","124.4","90.8",".238",".286",".501","45.6","61.8","11.0","7.5",".458","13.1","26.7",".190",".628","14.8","70.6",".192"
"53","53","2015-02-20","0","NYK","1","111","87","110.3","86.4","100.7",".443",".253",".588","61.0","73.7","11.9","6.3",".538","18.2","30.6",".329",".463","18.3","84.8",".134"
"54","54","2015-02-21","1","NOP","0","91","105","97.8","112.8","93.1",".342",".215",".501","52.3","45.5","5.4","11.3",".449","15.8","30.2",".253",".470","11.0","74.4",".325"
"55","55","2015-02-23","1","PHI","1","119","108","123.5","112.1","96.4",".265",".253",".642","57.7","58.7","6.2","5.7",".620","14.7","31.4",".193",".554","11.1","79.1",".179"
"56","56","2015-02-25","0","ORL","1","93","90","95.4","92.3","88.3",".381",".369",".474","45.7","53.1","8.2","8.9",".417","10.9","17.4",".274",".462","16.4","73.9",".231"
"57","57","2015-02-27","0","NOP","0","102","104","115.3","117.6","88.4",".190",".250",".560","45.6","51.2","3.4","11.7",".536","6.2","16.7",".143",".553","10.2","78.1",".263"
"58","58","2015-02-28","1","ATL","0","91","93","95.3","97.4","95.5",".259",".321",".504","56.0","53.1","12.6","5.6",".438","20.3","32.6",".247",".494","17.0","80.5",".190"
"59","59","2015-03-02","1","PHO","1","115","98","118.8","101.2","96.8",".366",".171",".604","51.1","44.2","14.5","8.5",".567","12.8","29.3",".268",".468","16.7","70.2",".321"
"60","60","2015-03-04","1","LAL","1","100","94","100.6","94.6","99.4",".544",".203",".511","56.7","50.0","8.1","10.0",".424","13.3","27.1",".418",".472","12.8","85.7",".125"
"61","61","2015-03-06","0","WAS","0","97","99","105.5","107.6","92.0",".241",".342",".555","46.3","48.6","5.4","3.4",".532","13.8","19.5",".165",".506","14.3","74.4",".195"
"62","62","2015-03-07","1","SAC","1","114","109","111.4","106.5","92.7",".413",".300",".603","42.5","56.1","12.7","12.7",".556","12.1","10.5",".313",".511","16.9","71.4",".216"
"63","63","2015-03-09","1","BOS","0","90","100","104.3","115.9","86.3",".493",".246",".536","42.7","51.7","5.8","3.2",".449","13.4","15.6",".406",".483","8.7","62.8",".184"
"64","64","2015-03-11","1","BRK","1","104","98","110.3","104.0","94.3",".469",".259",".532","47.0","62.2","14.9","5.4",".494","9.3","26.8",".296",".479","18.9","66.7",".384"
"65","65","2015-03-13","0","TOR","0","92","102","92.2","102.2","99.8",".304",".291",".514","50.6","60.0","11.0","10.9",".475","18.3","17.1",".215",".506","15.5","80.4",".278"
"66","66","2015-03-16","1","CLE","1","106","92","112.4","97.6","94.3",".289",".197",".619","58.4","50.0","8.5","10.9",".579","14.9","19.4",".237",".449","13.3","84.8",".266"
"67","67","2015-03-18","1","POR","1","108","104","118.5","114.1","91.2",".161",".115",".580","43.8","45.7","7.7","12.7",".569","7.9","20.0",".103",".568","14.3","67.5",".148"
"68","68","2015-03-20","1","DEN","1","108","91","116.5","98.2","92.7",".235",".198",".604","55.7","53.5","8.6","13.5",".574","15.2","28.6",".185",".513","15.5","77.3",".127"
"69","69","2015-03-22","0","OKC","0","75","93","84.1","104.2","89.2",".185",".222",".428","44.6","40.6","7.8","8.3",".414","17.0","30.2",".099",".478","15.1","57.1",".078"
"70","70","2015-03-24","0","MIL","0","88","89","97.0","98.1","90.8",".240",".253",".531","39.1","54.5","12.1","5.7",".493","17.8","19.5",".187",".437","17.5","56.5",".149"
"71","71","2015-03-25","0","BOS","1","93","86","102.2","94.5","91.0",".299",".312",".534","46.9","67.6","7.7","12.0",".500","15.5","19.5",".208",".442","15.8","75.0",".362"
"72","72","2015-03-27","0","ATL","0","86","99","93.0","107.1","92.4",".183",".427",".485","51.9","62.5","9.7","11.1",".457","16.9","25.0",".134",".556","16.2","85.7",".264"
"73","73","2015-03-29","1","DET","1","109","102","123.8","115.8","88.1",".354",".220",".575","55.4","51.3","4.5","1.7",".518","9.5","36.8",".293",".530","10.6","71.1",".169"
"74","74","2015-03-31","1","SAS","0","81","95","90.6","106.3","89.4",".152",".190",".481","46.5","34.4","10.1","7.1",".437","17.6","25.0",".152",".554","18.9","74.2",".176"
"75","75","2015-04-02","0","CLE","0","88","114","96.1","124.5","91.6",".280",".280",".522","45.6","78.1","8.7","4.4",".473","16.0","19.5",".227",".594","13.3","73.7",".238"
"76","76","2015-04-04","0","DET","0","98","99","110.6","111.7","88.6",".338",".260",".554","52.9","51.4","6.8","14.9",".513","13.7","30.6",".247",".575","16.1","76.5",".205"
"77","77","2015-04-05","0","IND","0","89","112","96.0","120.8","92.7",".232",".244",".492","40.2","40.5","7.5","12.7",".463","13.4","16.7",".159",".518","9.8","60.0",".282"
"78","78","2015-04-07","1","CHO","1","105","100","113.3","107.9","92.7",".346",".185",".563","48.3","50.0","4.3","8.2",".512","10.5","21.1",".272",".456","8.2","69.4",".187"
"79","79","2015-04-09","1","CHI","0","78","89","86.9","99.1","89.8",".080",".205",".428","47.4","41.2","2.2","10.3",".415","13.3","26.5",".057",".418","10.0","68.8",".143"
"80","80","2015-04-11","1","TOR","0","104","107","115.5","118.9","90.0",".543",".247",".518","50.0","37.8","3.3","14.0",".494","6.5","30.4",".296",".476","6.6","68.8",".337"
"81","81","2015-04-13","1","ORL","1","100","93","108.1","100.5","92.5",".277",".120",".537","54.9","53.8","2.2","14.1",".488","12.3","26.8",".229",".447","7.6","78.0",".200"
"82","82","2015-04-15","0","PHI","1","105","101","108.9","104.7","96.4",".225",".348",".537","48.3","56.4","10.4","3.7",".506","14.1","27.3",".169",".488","14.5","69.8",".241"
