"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2015-10-28","1","MIN","0","111","112","110.9","111.9","100.1",".389",".378",".527","55.2","51.4","2.0","6.3",".439","11.0","26.7",".356",".488","7.5","85.7",".373"
"2","2","2015-10-30","0","SAC","0","114","132","104.3","120.8","109.3",".303",".382",".565","39.8","48.8","6.4","11.4",".522","15.8","16.7",".236",".545","10.9","64.4",".218"
"3","3","2015-11-01","1","DAL","0","93","103","96.1","106.4","96.8",".329",".400",".478","46.2","58.1","8.3","15.8",".424","11.0","16.3",".247",".523","10.5","81.0",".138"
"4","4","2015-11-03","1","DEN","0","109","120","110.0","121.1","99.1",".442",".302",".531","44.9","50.0","9.1","6.2",".453","8.9","22.4",".360",".547","12.4","72.5",".318"
"5","5","2015-11-06","0","BRK","1","104","98","102.8","96.9","101.1",".513",".295",".544","46.5","42.4","8.9","8.1",".468","13.6","13.5",".397",".446","12.8","71.4",".161"
"6","6","2015-11-08","0","NYK","0","95","99","99.7","103.9","95.3",".245",".287",".456","46.9","52.8","7.3","5.3",".431","8.0","22.2",".149",".446","8.5","77.3",".286"
"7","7","2015-11-10","0","MIA","0","88","101","97.1","111.4","90.7",".156",".286",".535","43.4","61.8","7.7","10.9",".513","17.1","13.5",".117",".482","9.4","67.4",".238"
"8","8","2015-11-11","0","ORL","0","99","101","110.6","112.8","89.5",".228",".278",".569","44.3","64.1","5.6","9.7",".538","13.0","18.4",".177",".465","7.1","61.0",".080"
"9","9","2015-11-13","0","DAL","0","82","90","82.4","90.5","99.5",".205",".307",".427","54.3","62.1","10.1","12.7",".381","17.3","26.8",".170",".409","13.7","85.7",".280"
"10","10","2015-11-15","1","DET","1","97","85","99.4","87.1","97.6",".520",".253",".526","50.0","77.4","5.1","7.2",".453","14.8","17.1",".387",".401","8.9","76.5",".083"
"11","11","2015-11-16","0","PHO","0","101","120","108.0","128.3","93.5",".260",".260",".589","42.5","32.4","5.3","3.2",".539","15.7","17.9",".234",".543","8.8","62.5",".204"
"12","12","2015-11-20","1","TOR","0","91","102","104.0","116.6","87.5",".221",".325",".539","50.0","60.0","9.1","8.9",".506","15.1","23.7",".169",".532","11.9","72.7",".244"
"13","13","2015-11-22","1","POR","0","93","107","99.3","114.2","93.7",".307",".205",".466","54.3","53.1","2.1","9.7",".398","9.1","29.4",".261",".540","9.6","83.7",".149"
"14","14","2015-11-24","0","GSW","0","77","111","82.4","118.7","93.5",".193",".253",".428","48.4","51.6","8.6","3.5",".392","13.5","18.2",".145",".554","7.5","75.5",".098"
"15","15","2015-11-28","0","POR","0","96","108","104.3","117.4","92.0",".280",".280",".521","41.8","55.6","13.0","4.2",".482","8.9","15.0",".207",".564","15.2","69.2",".256"
"16","16","2015-11-29","1","IND","0","103","107","101.3","105.3","101.6",".222",".333",".474","51.9","44.7","5.9","8.9",".439","8.4","26.8",".162",".464","13.1","81.3",".361"
"17","17","2015-12-01","0","PHI","0","91","103","96.9","109.6","94.0",".270",".382",".457","49.5","45.5","4.3","4.3",".416","9.9","24.5",".191",".557","14.4","77.3",".190"
"18","18","2015-12-02","0","WAS","1","108","104","105.1","101.2","102.7",".208",".260",".515","52.3","41.5","17.5","5.2",".469","13.2","32.7",".188",".513","19.9","78.4",".291"
"19","19","2015-12-04","0","ATL","0","87","100","97.4","112.0","89.3",".151",".314",".474","49.4","59.4","11.2","14.6",".448","14.9","30.6",".116",".568","17.0","75.0",".216"
"20","20","2015-12-06","0","DET","0","91","111","91.7","111.9","99.2",".363",".225",".491","39.0","37.5","6.0","5.8",".431","13.9","15.4",".275",".489","13.3","64.6",".215"
"21","21","2015-12-07","0","TOR","0","93","102","106.4","116.7","87.4",".241",".229",".507","55.3","41.2","4.6","8.2",".452","14.0","31.8",".217",".520","7.4","80.5",".338"
"22","22","2015-12-09","0","MIN","0","122","123","118.3","119.3","93.4",".290",".247",".582","46.0","39.6","8.7","1.4",".565","7.9","21.4",".183",".532","11.6","68.9",".258"
"23","23","2015-12-11","0","SAS","0","87","109","91.8","115.0","94.8",".114",".284",".471","42.4","55.6","7.4","7.4",".460","14.0","19.1",".068",".573","12.3","71.1",".183"
"24","24","2015-12-12","0","HOU","0","97","126","95.3","123.8","101.8",".227",".364",".501","43.5","60.0","10.8","7.0",".455","16.4","22.9",".193",".606","13.5","65.9",".189"
"25","25","2015-12-15","1","MIL","1","113","95","123.2","103.6","91.7",".281",".303",".565","57.8","63.4","7.6","4.2",".517","12.3","40.9",".236",".494","10.5","73.9",".129"
"26","26","2015-12-17","1","HOU","0","87","107","94.5","116.2","92.0",".214",".286",".473","46.0","61.1","5.4","8.8",".458","13.2","29.5",".119",".455","10.9","58.9",".307"
