"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2013-10-30","0","PHO","0","91","104","98.5","112.6","92.4",".296",".321",".497","45.3","57.6","5.4","7.8",".457","12.4","23.4",".210",".542","14.2","71.8",".169"
"2","2","2013-11-01","0","DEN","1","113","98","119.0","103.2","95.0",".146",".214",".516","50.0","56.8","3.2","6.2",".495","6.0","31.4",".107",".394","3.4","66.1",".202"
"3","3","2013-11-02","1","SAS","1","115","105","120.4","109.9","95.5",".235",".247",".643","52.7","64.4","3.1","8.5",".605","15.2","23.3",".210",".532","11.0","72.7",".053"
"4","4","2013-11-05","1","HOU","0","101","116","103.0","118.3","98.1",".333",".356",".506","39.0","61.1","9.2","11.3",".471","12.3","22.9",".218",".587","18.2","65.5",".373"
"5","5","2013-11-08","1","SAC","1","104","91","113.5","99.3","91.6",".225",".288",".591","60.3","71.8","4.4","7.8",".550","16.2","32.4",".200",".453","10.6","81.8",".151"
"6","6","2013-11-09","0","SAC","1","96","85","115.4","102.2","83.2",".268",".244",".524","61.2","69.4","7.2","3.0",".494","11.6","43.2",".183",".481","10.6","80.5",".128"
"7","7","2013-11-11","1","DET","1","109","103","123.8","117.0","88.1",".183",".280",".615","51.2","54.8","7.9","2.6",".579","14.5","35.1",".171",".478","7.4","63.3",".176"
"8","8","2013-11-13","1","PHO","1","90","89","96.3","95.2","93.5",".274",".179",".478","55.4","42.9","5.3","4.2",".452","14.5","31.1",".167",".459","13.2","78.7",".116"
"9","9","2013-11-15","0","BOS","1","109","96","109.8","96.7","99.3",".268",".317",".594","58.0","52.5","9.1","3.2",".543","16.4","21.1",".244",".500","14.4","90.7",".185"
"10","10","2013-11-17","0","TOR","1","118","110","112.9","105.3","94.6",".202",".323",".547","47.4","56.8","4.8","7.8",".520","12.2","29.4",".152",".463","12.9","67.4",".245"
"11","11","2013-11-18","0","BRK","1","108","98","120.7","109.6","89.5",".276",".237",".634","53.5","46.3","5.6","6.9",".592","14.1","25.7",".237",".382","6.5","72.5",".388"
"12","12","2013-11-20","0","MIL","1","91","82","101.8","91.8","89.4",".174",".360",".491","51.7","74.3","11.2","7.6",".471","14.7","34.8",".116",".469","18.2","70.7",".088"
"13","13","2013-11-22","1","CHI","1","98","95","107.7","104.4","91.0",".170",".295",".518","42.9","58.3","12.1","4.3",".477","11.3","22.2",".159",".416","12.8","63.0",".313"
"14","14","2013-11-23","0","GSW","1","113","101","111.1","99.3","101.7",".407",".244",".557","53.4","73.0","7.9","15.0",".488","12.9","26.5",".337",".513","17.4","87.2",".286"
"15","15","2013-11-25","1","NYK","1","102","91","114.6","102.2","89.0",".262",".298",".544","51.1","51.4","3.4","7.1",".494","7.9","22.7",".226",".482","9.0","78.3",".106"
"16","16","2013-11-27","0","PHO","0","106","120","118.1","133.6","89.8",".279",".221",".549","47.6","53.8","4.5","3.5",".494","11.1","33.3",".244",".580","9.6","64.9",".321"
"17","17","2013-12-01","0","LAL","1","114","108","119.2","113.0","95.6",".391",".264",".559","55.9","73.7","6.3","1.7",".489","10.5","31.9",".333",".517","8.5","80.4",".207"
"18","18","2013-12-02","1","IND","1","106","102","108.5","104.4","97.7",".434",".171",".586","48.8","47.2","3.1","6.1",".507","13.4","15.4",".382",".494","13.6","79.1",".170"
"19","19","2013-12-04","1","OKC","1","111","104","115.9","108.6","95.7",".173",".235",".526","52.2","50.0","7.3","9.0",".490","9.4","34.8",".153",".466","11.5","70.5",".236"
"20","20","2013-12-06","1","UTA","1","130","98","135.3","102.0","96.0",".289",".277",".695","56.2","56.5","9.4","6.1",".657","18.3","44.7",".253",".441","13.6","64.7",".172"
"21","21","2013-12-07","1","DAL","0","106","108","112.0","114.1","94.7",".276",".345",".543","58.1","56.4","4.2","4.2",".500","14.1","37.0",".218",".575","11.6","82.5",".092"
"22","22","2013-12-09","0","UTA","1","105","94","115.0","103.0","91.3",".235",".224",".560","50.6","57.5","6.6","8.0",".506","10.5","25.6",".224",".445","11.5","75.0",".256"
"23","23","2013-12-12","1","HOU","1","111","104","114.9","107.7","96.6",".337",".303",".543","52.0","56.4","4.1","9.5",".483","12.0","31.3",".281",".452","7.1","71.2",".202"
"24","24","2013-12-14","0","PHI","1","139","105","137.6","104.0","101.0",".215",".398",".683","58.2","78.8","8.9","11.1",".672","15.0","38.5",".151",".500","12.5","77.5",".207"
"25","25","2013-12-15","0","DET","1","111","109","110.8","108.8","90.7",".263",".263",".503","47.0","58.5","9.0","3.8",".449","8.3","30.0",".222",".484","11.7","64.0",".191"
