"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2014-10-29","1","OKC","1","106","89","119.4","100.2","88.8",".253",".333",".548","49.4","59.0","4.5","13.8",".511","9.4","31.0",".195",".420","12.3","67.4",".259"
"2","2","2014-10-31","0","SAC","0","94","103","106.1","116.3","88.6",".229",".313",".514","43.7","58.8","5.6","11.3",".464","9.9","22.2",".205",".444","9.4","66.7",".383"
"3","3","2014-11-02","1","GSW","0","90","95","91.8","96.9","98.0",".152",".293",".458","57.7","54.1","9.2","3.2",".440","16.2","33.3",".098",".481","15.9","84.8",".210"
"4","4","2014-11-04","1","CLE","1","101","82","114.6","93.0","88.1",".333",".333",".587","53.9","56.8","7.9","6.3",".547","11.3","24.3",".253",".418","13.3","75.0",".129"
"5","5","2014-11-06","1","DAL","1","108","87","118.3","95.3","91.3",".247",".390",".633","60.9","62.5","3.3","9.0",".597","16.6","31.6",".208",".394","6.7","83.7",".178"
"6","6","2014-11-08","0","LAC","0","102","106","109.4","113.7","93.2",".313",".313",".560","53.8","69.4","2.1","4.3",".513","15.0","23.7",".250",".525","6.9","81.0",".259"
"7","7","2014-11-09","1","DEN","1","116","100","118.5","102.1","97.9",".140",".310",".546","48.1","60.0","7.1","14.1",".530","8.6","30.2",".100",".423","12.6","66.0",".253"
"8","8","2014-11-11","1","CHO","1","102","100","110.0","107.8","92.8",".172",".269",".510","55.8","62.5","6.5","6.8",".473","10.7","31.9",".151",".513","13.0","84.6",".307"
"9","9","2014-11-12","0","DEN","1","130","113","130.3","113.3","99.8",".330",".375",".645","49.5","66.7","7.0","13.4",".602","12.2","27.3",".273",".478","10.3","69.4",".300"
"10","10","2014-11-15","1","BRK","1","97","87","108.8","97.6","89.2",".346",".333",".540","52.2","78.8","6.7","4.3",".494","13.5","29.5",".256",".399","8.5","73.9",".180"
"11","11","2014-11-17","1","NOP","1","102","93","112.2","102.3","90.9",".303",".250",".592","51.2","52.6","7.7","1.5",".546","17.3","26.3",".250",".476","10.5","71.7",".141"
"12","12","2014-11-21","1","CHI","1","105","87","107.8","89.3","97.4",".278",".203",".592","48.9","66.7","8.2","8.2",".551","16.1","14.0",".228",".410","12.8","78.4",".229"
"13","13","2014-11-23","0","BOS","1","94","88","98.5","92.2","95.4",".174",".221",".508","54.5","54.1","7.3","4.2",".471","14.7","22.7",".151",".416","7.4","78.9",".095"
"14","14","2014-11-24","0","PHI","1","114","104","121.6","111.0","93.7",".258",".303",".575","64.2","68.2","6.4","6.6",".534","13.1","45.0",".213",".500","9.6","82.9",".238"
"15","15","2014-11-26","0","CHO","1","105","97","110.2","101.8","95.3",".217",".293",".521","51.5","53.8","4.2","8.9",".489","7.4","21.3",".163",".463","5.6","80.0",".106"
"16","16","2014-11-28","1","MEM","0","99","112","105.2","119.0","94.1",".186",".289",".472","49.5","56.4","6.4","8.5",".443","6.3","28.3",".134",".571","8.6","78.9",".190"
"17","17","2014-11-30","1","MIN","1","107","93","108.1","94.0","99.0",".291",".384",".552","55.7","69.2","8.1","11.1",".523","15.7","31.9",".198",".444","12.4","78.0",".144"
"18","18","2014-12-02","0","DEN","1","105","103","107.7","105.6","97.5",".198",".256",".562","47.4","60.5","7.2","8.2",".529","11.4","10.5",".163",".549","13.5","82.5",".173"
"19","19","2014-12-04","1","IND","1","88","82","89.1","83.1","98.7",".277",".253",".473","48.5","60.6","9.1","6.8",".422","11.4","11.1",".217",".423","15.2","79.6",".055"
"20","20","2014-12-07","0","NYK","1","103","99","113.8","109.4","90.5",".341",".329",".527","54.3","58.3","8.8","3.3",".482","8.4","32.7",".247",".551","13.2","87.5",".152"
"21","21","2014-12-09","0","DET","1","98","86","110.8","97.2","88.4",".095",".250",".560","50.0","61.0","4.5","9.3",".542","12.9","25.0",".083",".376","5.5","68.5",".134"
"22","22","2014-12-10","0","MIN","0","82","90","89.9","98.7","91.2",".150",".438",".481","40.4","64.5","7.7","14.5",".450","19.0","23.4",".125",".401","15.9","57.4",".309"
