"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"35","35","2013-01-11","1","POR","1","103","97","108.8","102.5","94.7",".209",".174",".548","47.5","68.3","10.6","10.2",".512","10.5","18.6",".174",".462","11.5","69.6",".130"
"36","36","2013-01-13","0","DEN","0","105","116","110.0","121.5","95.4",".096",".289",".607","47.0","65.1","3.1","7.9",".596","17.2","16.7",".072",".528","7.3","70.2",".233"
"37","37","2013-01-16","1","MIA","0","75","92","78.8","96.7","95.1",".225",".150",".427","50.5","58.6","5.3","3.3",".381","19.3","22.4",".175",".444","10.1","75.9",".133"
"38","38","2013-01-18","0","SAS","0","88","95","97.3","105.0","90.5",".167",".190",".488","47.7","63.9","4.4","3.4",".452","9.1","15.2",".143",".481","10.1","83.3",".225"
"39","39","2013-01-19","0","NOH","1","116","112","124.8","120.5","92.9",".455",".286",".628","47.1","65.8","10.8","1.8",".558","13.2","27.8",".390",".627","15.2","67.6",".165"
"40","40","2013-01-21","1","LAC","1","106","99","113.2","105.8","93.6",".240",".293",".639","50.0","64.1","4.3","3.8",".600","17.0","17.1",".213",".524","13.1","76.7",".145"
"41","41","2013-01-23","1","OKC","1","104","99","107.5","102.3","96.7",".321",".274",".542","50.6","54.1","10.3","4.8",".476","13.5","26.8",".286",".494","17.5","76.3",".282"
"42","42","2013-01-25","0","CHI","0","87","103","95.2","112.7","91.4",".423",".244",".470","39.8","44.4","6.6","7.4",".372","10.6","20.0",".372",".517","13.5","62.8",".136"
"43","43","2013-01-26","0","MIL","0","102","109","104.4","111.6","97.7",".118",".301",".521","46.3","64.1","8.2","5.6",".489","13.3","25.0",".118",".470","9.9","63.3",".139"
"44","44","2013-01-28","0","TOR","1","114","102","122.1","109.3","93.3",".233",".174",".601","57.0","47.8","4.3","11.8",".570","12.1","33.3",".186",".471","9.3","76.6",".230"
"45","45","2013-01-29","0","CLE","1","108","95","117.7","103.5","91.8",".119",".190",".611","52.0","68.9","8.7","13.6",".601","13.7","22.6",".083",".452","10.4","72.7",".226"
"46","46","2013-01-31","1","DAL","1","100","97","107.6","104.3","93.0",".298",".238",".526","49.5","72.2","6.5","7.1",".470","11.2","25.5",".250",".494","14.1","73.9",".210"
"47","47","2013-02-02","1","PHO","1","113","93","121.2","99.7","93.3",".225",".213",".578","49.5","75.6","5.4","4.2",".556","11.7","29.8",".157",".436","11.1","68.8",".209"
"48","48","2013-02-05","0","HOU","0","109","140","111.5","143.2","97.8",".349",".174",".549","45.5","51.2","2.0","9.8",".494","10.8","24.4",".279",".632","7.0","67.4",".275"
"49","49","2013-02-06","0","OKC","0","98","119","94.2","114.4","104.0",".172",".215",".490","49.5","65.8","6.7","5.6",".462","16.0","24.5",".129",".547","10.4","78.3",".158"
"50","50","2013-02-08","0","MEM","0","93","99","103.5","110.1","89.9",".270",".230",".562","44.2","50.0","5.6","6.8",".527","16.2","17.1",".203",".506","11.9","75.0",".241"
"51","51","2013-02-09","0","DAL","0","91","116","95.0","121.1","95.8",".270",".180",".457","54.2","35.3","4.2","1.8",".416","13.1","30.9",".191",".565","9.6","85.4",".377"
"52","52","2013-02-12","1","HOU","0","107","116","105.9","114.8","101.1",".369",".238",".548","48.9","65.8","5.9","10.5",".500","11.7","17.4",".274",".527","9.7","79.2",".220"
"53","53","2013-02-19","0","UTA","0","101","115","110.1","125.4","91.7",".289",".205",".540","54.5","43.6","5.5","5.3",".500","12.2","32.5",".217",".564","10.6","78.4",".346"
"54","54","2013-02-20","1","PHO","1","108","98","119.7","108.6","90.3",".195",".230",".572","51.8","69.0","6.6","9.0",".540","9.6","30.2",".161",".530","13.4","73.8",".107"
"55","55","2013-02-22","1","SAS","1","107","101","100.3","94.7","96.6",".319",".223",".499","53.3","64.1","5.6","6.8",".441","10.1","18.4",".255",".411","7.6","82.8",".242"
"56","56","2013-02-24","0","MIN","1","100","99","102.3","101.3","97.8",".284",".210",".549","53.9","48.6","11.3","5.4",".500","19.4","34.1",".235",".441","14.7","70.8",".282"
"57","57","2013-02-26","0","IND","0","97","108","106.6","118.7","91.0",".316",".276",".560","52.3","48.5","12.1","9.5",".513","18.8","34.9",".250",".524","11.1","68.9",".238"
"58","58","2013-02-27","0","NYK","0","105","109","114.0","118.3","92.1",".292",".375",".646","45.2","38.9","6.5","7.5",".604","17.3","14.3",".250",".477","9.0","67.3",".299"
"59","59","2013-03-01","0","BOS","0","86","94","86.3","94.3","99.7",".234",".245",".415","55.1","53.1","6.0","1.7",".367","9.6","23.6",".181",".500","16.3","95.3",".253"
"60","60","2013-03-02","0","PHI","0","97","104","97.9","105.0","99.1",".221",".302",".514","42.2","61.1","14.1","4.5",".477","16.8","22.9",".174",".588","20.5","68.6",".047"
"61","61","2013-03-04","1","TOR","1","125","118","124.7","117.7","100.2",".341",".207",".663","44.7","70.2","3.0","5.9",".622","12.9","17.6",".280",".484","10.6","62.7",".287"
"62","62","2013-03-06","1","SAC","1","87","83","91.2","87.0","95.4",".387",".307",".496","53.5","70.4","9.4","6.8",".413","16.2","15.0",".333",".446","13.7","87.0",".108"
"63","63","2013-03-08","1","HOU","0","88","94","93.1","99.4","94.5",".230",".241",".459","53.1","54.5","6.3","10.3",".431","14.3","24.0",".149",".466","11.9","84.8",".338"
"64","64","2013-03-09","1","MIL","0","93","103","98.3","108.8","94.6",".244",".183",".512","52.8","56.8","4.2","2.0",".488","15.8","25.0",".159",".571","14.8","85.4",".179"
"65","65","2013-03-11","1","NYK","1","92","63","106.2","72.7","86.7",".308",".256",".519","58.4","50.0","8.1","8.7",".481","13.7","29.5",".218",".308","13.2","80.7",".247"
"66","66","2013-03-13","1","DET","1","105","97","122.2","112.9","85.9",".347",".250",".633","52.5","65.9","5.8","12.5",".625","13.5","31.4",".208",".478","8.6","68.9",".135"
"67","67","2013-03-15","1","CHI","0","95","113","102.5","121.9","92.7",".395",".184",".533","44.2","47.1","8.6","10.4",".467","11.9","17.9",".316",".566","13.1","71.1",".229"
"68","68","2013-03-17","0","HOU","1","108","78","111.9","80.8","96.5",".094",".271",".540","51.0","61.4","7.3","11.8",".526","9.1","18.2",".073",".378","13.9","77.8",".151"
"69","69","2013-03-18","0","NOH","1","93","72","108.4","83.9","85.8",".214",".271",".607","51.8","60.0","7.0","10.6",".571","17.3","17.6",".186",".355","12.8","74.5",".157"
"70","70","2013-03-20","0","SAS","0","93","104","101.2","113.1","91.9",".179",".143",".513","50.6","43.2","9.8","6.8",".476","15.0","28.6",".155",".529","11.6","77.1",".165"
"71","71","2013-03-23","1","WAS","1","101","92","108.0","98.3","93.6",".293",".267",".596","52.5","67.6","5.3","5.6",".560","19.9","23.5",".227",".449","11.2","73.9",".148"
"72","72","2013-03-25","1","LAL","1","109","103","110.9","104.8","98.3",".211",".256",".554","48.5","51.2","3.1","6.2",".533","10.1","20.0",".144",".429","7.8","72.2",".275"
"73","73","2013-03-27","1","SAC","0","98","105","104.6","112.1","93.7",".144",".267",".512","47.7","73.2","9.6","6.5",".483","12.8","31.0",".122",".517","13.1","63.6",".133"
"74","74","2013-03-30","1","POR","1","125","98","130.9","102.6","95.5",".310",".230",".632","57.8","46.8","6.3","12.7",".592","9.2","28.9",".253",".430","9.2","78.8",".279"
"75","75","2013-04-03","1","NOH","1","98","88","108.1","97.1","90.6",".282",".244",".559","54.7","69.4","5.5","11.8",".506","12.9","26.8",".244",".422","11.4","80.0",".217"
"76","76","2013-04-05","0","PHO","1","111","107","119.6","115.3","92.8",".186",".186",".597","45.5","59.1","16.2","1.7",".564","13.1","29.3",".163",".646","21.7","72.0",".194"
"77","77","2013-04-07","1","UTA","0","90","97","101.4","109.3","88.7",".243",".230",".549","49.4","60.0","5.6","3.2",".520","16.3","21.6",".176",".517","12.5","71.7",".068"
"78","78","2013-04-09","1","MIN","1","105","89","104.6","88.7","100.3",".242",".264",".521","57.7","61.5","7.0","8.5",".484","11.4","24.0",".187",".406","9.2","88.9",".178"
"79","79","2013-04-11","1","OKC","0","97","116","96.5","115.4","100.5",".310",".190",".508","45.9","43.2","10.0","5.4",".482","14.4","16.3",".190",".578","15.4","76.2",".241"
"80","80","2013-04-12","0","LAL","0","116","118","122.7","124.8","94.6",".165",".268",".557","55.0","54.3","7.4","9.8",".531","7.1","31.3",".134",".606","12.0","90.6",".576"
"81","81","2013-04-15","1","SAS","1","116","106","109.9","100.5","105.5",".212",".235",".624","57.6","56.5","8.5","9.5",".594","18.4","23.7",".176",".500","12.6","81.5",".082"
"82","82","2013-04-17","0","POR","1","99","88","104.7","93.1","94.5",".140",".226",".501","55.3","52.5","7.4","4.3",".478","10.8","28.0",".108",".463","13.7","86.4",".146"
