"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"35","35","2013-01-09","1","PHO","1","87","79","101.9","92.6","85.4",".148",".173",".504","47.2","62.2","14.1","6.9",".475","13.1","30.0",".123",".405","14.8","61.2",".131"
"36","36","2013-01-11","1","HOU","1","103","91","111.3","98.3","92.6",".203",".291",".599","53.1","53.7","8.6","12.8",".576","15.7","23.5",".152",".494","13.1","74.5",".150"
"37","37","2013-01-14","1","CHA","1","100","89","114.6","102.0","87.2",".250",".263",".563","55.3","69.2","6.9","12.5",".538","13.6","36.8",".175",".456","12.7","73.7",".215"
"38","38","2013-01-16","1","NOH","0","78","90","87.9","101.4","88.7",".216",".243",".481","40.7","64.7","12.4","7.4",".486","15.6","14.0",".081",".451","16.7","71.1",".366"
"39","39","2013-01-18","1","CHI","0","99","100","99.1","100.1","90.5",".308",".154",".479","49.4","39.5","10.0","5.0",".434","9.6","23.9",".220",".513","19.1","79.5",".307"
"40","40","2013-01-20","0","DET","0","88","103","89.4","104.6","98.4",".301",".181",".468","45.7","66.7","13.2","6.8",".422","16.1","22.4",".217",".519","17.9","72.1",".282"
"41","41","2013-01-22","0","CLE","0","90","95","97.8","103.2","92.0",".262",".202",".480","55.2","75.0","5.4","11.4",".423","14.6","34.0",".226",".463","12.4","80.0",".232"
"42","42","2013-01-24","1","NYK","0","86","89","95.2","98.5","90.4",".368",".237",".487","48.4","58.1","6.6","5.5",".428","12.0","15.6",".276",".434","9.8","78.0",".205"
"43","43","2013-01-25","0","ATL","0","111","123","102.1","113.1","90.0",".215",".204",".545","49.5","66.7","7.4","1.7",".489","17.1","21.3",".215",".511","9.8","76.0",".287"
"44","44","2013-01-27","1","MIA","1","100","98","96.2","94.3","86.0",".307",".227",".501","46.5","66.7","10.6","11.0",".438","12.3","18.2",".261",".432","16.0","69.1",".156"
"45","45","2013-01-30","1","SAC","1","99","81","110.2","90.1","89.9",".274",".219",".605","50.0","56.4","10.0","7.1",".568","16.4","18.2",".219",".438","17.6","74.4",".233"
"46","46","2013-02-01","1","ORL","1","97","84","103.4","89.5","93.8",".167",".214",".538","50.5","71.4","9.6","6.6",".524","13.4","23.8",".107",".395","12.4","71.7",".095"
"47","47","2013-02-03","1","LAC","1","106","104","114.4","112.2","92.7",".375",".250",".632","41.4","63.9","8.6","3.4",".576","16.9","17.6",".319",".563","18.5","63.9",".190"
"48","48","2013-02-06","0","TOR","1","99","95","106.6","102.3","92.8",".411",".260",".574","48.8","60.0","4.3","7.8",".507","13.1","16.2",".342",".439","13.8","74.5",".280"
"49","49","2013-02-07","1","LAL","1","116","95","122.1","100.0","95.0",".287",".126",".592","52.7","54.3","10.5","7.8",".557","8.4","28.6",".218",".443","10.7","73.5",".207"
"50","50","2013-02-10","1","DEN","1","118","114","95.6","92.4","94.0",".222",".278",".498","44.0","79.1","11.3","9.2",".458","11.9","13.8",".176",".460","14.8","74.1",".088"
"51","51","2013-02-11","0","CHA","0","91","94","102.5","105.9","88.8",".338",".182",".514","48.4","81.3","6.8","11.9",".455","10.2","17.8",".273",".481","10.0","78.3",".260"
"52","52","2013-02-13","1","CHI","1","71","69","84.8","82.4","83.7",".158",".197",".437","44.3","64.3","10.8","7.0",".401","11.0","18.2",".132",".385","19.7","70.5",".162"
"53","53","2013-02-19","0","DEN","0","90","97","102.5","110.5","87.8",".203",".253",".523","46.4","62.9","6.8","3.5",".487","12.2","18.6",".165",".474","7.0","75.6",".312"
"54","54","2013-02-20","0","LAL","0","99","113","106.0","121.0","93.4",".244",".244",".545","41.0","61.5","5.4","6.6",".530","11.7","16.7",".146",".548","11.0","65.9",".265"
"55","55","2013-02-22","0","PHO","1","113","88","122.7","95.6","92.1",".291",".278",".634","52.9","43.2","8.7","9.2",".620","11.9","24.3",".190",".440","12.1","75.0",".167"
"56","56","2013-02-24","0","POR","0","86","92","94.3","100.8","91.2",".176",".153",".469","43.4","44.4","9.9","3.4",".435","8.9","14.3",".141",".487","15.5","73.2",".190"
"57","57","2013-02-25","0","UTA","1","110","107","116.8","113.6","85.3",".233",".314",".580","45.7","46.3","8.5","7.0",".535","11.2","21.6",".209",".489","11.7","65.9",".239"
"58","58","2013-03-01","1","GSW","1","94","86","94.3","86.3","99.7",".373",".200",".538","44.9","66.7","6.0","7.0",".500","16.3","4.7",".253",".367","9.6","76.4",".181"
"59","59","2013-03-05","0","PHI","1","109","101","110.5","102.4","98.7",".193",".229",".605","52.1","81.0","7.1","6.3",".572","19.6","31.6",".169",".435","11.5","66.1",".140"
"60","60","2013-03-06","0","IND","1","83","81","93.0","90.8","89.2",".108",".205",".477","48.5","52.9","10.1","13.1",".452","13.0","20.9",".096",".398","12.9","70.4",".125"
"61","61","2013-03-08","1","ATL","1","107","102","109.5","104.4","88.5",".256",".256",".616","46.1","57.5","9.2","4.9",".577","14.7","6.1",".218",".506","12.8","76.7",".148"
"62","62","2013-03-10","0","OKC","0","79","91","85.8","98.8","92.1",".260",".260",".460","51.8","58.6","5.4","9.6",".422","17.3","20.8",".182",".471","14.5","91.9",".397"
"63","63","2013-03-12","0","CHA","0","74","100","90.8","122.7","81.5",".379",".197",".481","37.7","55.6","4.9","6.7",".439","14.4","15.8",".242",".494","10.0","59.0",".312"
"64","64","2013-03-13","1","TOR","1","112","88","116.6","91.6","96.1",".461",".197",".613","54.1","74.4","11.4","10.6",".553","13.3","18.2",".368",".449","16.3","82.9",".215"
"65","65","2013-03-16","1","CHA","1","105","88","117.4","98.4","89.4",".253",".190",".598","54.5","68.3","6.7","14.3",".582","12.9","25.6",".165",".493","12.3","84.2",".171"
"66","66","2013-03-18","1","MIA","0","103","105","106.8","108.9","96.5",".333",".292",".624","45.8","61.5","9.3","10.8",".611","19.5","12.1",".208",".535","12.9","74.4",".165"
"67","67","2013-03-20","0","NOH","0","86","87","99.2","100.4","86.7",".236",".194",".541","38.4","60.6","15.0","10.9",".486","14.1","10.5",".222",".472","17.9","68.6",".282"
"68","68","2013-03-22","0","DAL","0","94","104","102.5","113.4","91.7",".351",".221",".529","44.2","59.4","8.7","7.9",".448","13.6","22.2",".325",".500","12.9","68.3",".268"
"69","69","2013-03-23","0","MEM","0","106","110","115.1","119.5","92.1",".378",".270",".614","45.7","50.0","5.4","10.8",".574","14.0","20.0",".284",".479","7.1","65.2",".213"
